player_name,position,school,projected_pick,rec_yards,team_pass_attempts,birthdate,age,weight
Shelton Sampson Jr.,WR,Louisiana,250,,411,MISSING,MISSING,195
Raymond Cottrell,WR,Texas A&M,250,,361,1911-04-21,113,210
Nathan Leacock,WR,North Carolina,250,,391,MISSING,MISSING,217
Anthony Evans III,WR,Georgia,250,88,513,2005-06-20,19,180
Jalen Brown,WR,Notre Dame,250,,445,1995-01-23,29,202
Brandon Inniss,WR,Ohio State,250,176,455,2004-10-07,19,199
Ryan Niblett,WR,Texas,250,24,541,2004-11-17,19,187
Cordale Russell,WR,Colorado,250,,481,MISSING,MISSING,210
Ayden Williams,WR,Mississippi State,250,,367,MISSING,MISSING,205
Braylon James,WR,Notre Dame,250,,445,MISSING,MISSING,190
London Humphreys,WR,Georgia,250,244,513,2005-05-13,19,200
Tyler Brown,WR,Iowa State,250,,472,MISSING,MISSING,
Mikey Matthews,WR,California,250,292,464,MISSING,MISSING,180
Antonio Gates Jr.,WR,Michigan State,250,49,354,MISSING,MISSING,193
C.J. Williams,WR,Alabama,250,,354,MISSING,MISSING,159
Andre Greene Jr.,WR,North Carolina,250,,391,MISSING,MISSING,202
Kobe Prentice,WR,Alabama,250,129,354,2004-03-10,20,190
Kyion Grayes,WR,California,250,22,464,MISSING,MISSING,190
Braylin Presley,WR,Oklahoma State,250,,450,MISSING,MISSING,170
Talyn Shettron,WR,Oklahoma State,250,245,450,MISSING,MISSING,195
Tobias Merriweather,WR,California,250,125,464,MISSING,MISSING,195
Kaleb Brown,WR,Iowa,250,18,260,2003-10-07,20,200
Jayden McGowan,WR,Boston College,250,,330,MISSING,MISSING,180
Squirrel White,WR,Florida State,250,,355,2004-05-05,20,170
Jaron Glover,WR,Michigan State,250,192,354,MISSING,MISSING,205
Justus Ross-Simmons,WR,Colorado State,250,,388,MISSING,MISSING,210
Jayden Ballard,WR,Ohio State,250,18,455,MISSING,MISSING,205
Christian Leary,WR,Alabama,250,,354,MISSING,MISSING,180
JoJo Earle,WR,Alabama,250,,354,2003-04-05,21,185
Dacari Collins,WR,Clemson,250,,529,MISSING,MISSING,215
Cody Jackson,WR,Army,250,,122,MISSING,MISSING,200
Kyron Ware-Hudson,WR,Penn State,250,,437,MISSING,MISSING,215
Malik McClain,WR,USC,250,,533,MISSING,MISSING,245
Deion Colzie,WR,Miami (OH),250,,398,MISSING,MISSING,211
Jerand Bradley,WR,Boston College,250,94,330,2002-10-10,21,223
Andrel Anthony,WR,Duke,250,,467,2002-01-07,22,186
Jayden Thomas,WR,Georgia Tech,250,,410,2002-10-18,21,220
Rara Thomas,WR,Georgia,250,,513,2002-07-28,22,208
Cyrus Allen,WR,Cincinnati,250,,395,MISSING,MISSING,180
Jared Brown,WR,Coastal Carolina,250,,358,1973-04-27,51,195
Jaden Bray,WR,Oklahoma State,250,,450,MISSING,MISSING,209
Joseph Manjack IV,WR,,250,,,MISSING,MISSING,
Max Tomzcak,WR,,250,,,MISSING,MISSING,
E.J. Williams,WR,Clemson,250,,529,MISSING,MISSING,203
Ja'Mori Maclin,WR,,250,,,MISSING,MISSING,
Ja'Varrius Johnson,WR,Auburn,250,,369,MISSING,MISSING,180
Donavon Greene,WR,Virginia Tech,250,,339,MISSING,MISSING,196
Jeremiyah Love,RB,Notre Dame,10,237,445,2005-05-31,19,214
Jonah Coleman,RB,Arizona,56,,437,2003-08-20,21,228
Jadarian Price,RB,Notre Dame,79,10,445,2003-10-09,20,209
Emmett Johnson,RB,Nebraska,83,273,434,2003-10-10,20,200
Nick Singleton,RB,,118,,,MISSING,MISSING,
Kaytron Allen,RB,Penn State,124,153,437,2003-01-08,21,217
Demond Claiborne,RB,Wake Forest,136,254,403,2003-10-09,20,195
Mike Washington Jr.,RB,,163,,,MISSING,MISSING,
Adam Randall,RB,Clemson,180,155,529,2004-07-14,20,230
Noah Whittington,RB,Oregon,183,136,460,MISSING,MISSING,203
Roman Hemby,RB,Indiana,197,,361,2002-08-16,22,208
C.J. Donaldson,RB,,242,,,MISSING,MISSING,
J'Mari Taylor,RB,North Carolina Central,245,257,,MISSING,MISSING,204
Jamarion Miller,RB,Alabama,246,155,354,MISSING,MISSING,221
Robert Henry Jr.,RB,,250,,,MISSING,MISSING,
Max Bredeson,RB,Michigan,250,24,308,2002-10-04,21,250
Kentrel Bullock,RB,Ole Miss,250,,434,MISSING,MISSING,205
Chip Trayanum,RB,,250,,,MISSING,MISSING,
Seth McGowan,RB,Kentucky,250,,312,MISSING,MISSING,215
Le'Veon Moss,RB,Texas A&M,250,141,361,2002-11-15,21,210
Dean Connors,RB,Houston,250,,280,2003-08-29,21,206
Rahsul Faison,RB,South Carolina,250,,342,2000-02-20,24,218
Desmond Reid,RB,Pittsburgh,250,579,499,2004-07-29,20,175
Kaelon Black,RB,Indiana,250,6,361,2001-10-17,22,210
Jaydn Ott,RB,,250,,,2002-12-16,21,
Terion Stewart,RB,Bowling Green,250,12,419,2001-11-29,22,222
Jamal Haynes,RB,Georgia Tech,250,154,410,2002-10-05,21,190
Rueben Owens,RB,Texas A&M,250,6,361,MISSING,MISSING,215
Kedrick Reescano,RB,Arizona,250,47,437,MISSING,MISSING,213
Djay Braswell,RB,Georgia State,250,,449,MISSING,MISSING,215
Quinten Joyner,RB,Texas Tech,250,,536,2005-03-03,19,205
Samuel Singleton Jr.,RB,,250,,,MISSING,MISSING,
Sedrick Alexander,RB,Vanderbilt,250,238,304,MISSING,MISSING,200
Kaden Feagin,RB,Illinois,250,37,353,2004-03-23,20,250
TreVonte Citizen,RB,,250,,,MISSING,MISSING,
Branson Robinson,RB,Georgia,250,33,513,2004-03-17,20,211
Jaylon Glover,RB,UNLV,250,,309,MISSING,MISSING,205
Savion Red,RB,Nevada,250,74,366,MISSING,MISSING,233
Andrew Paul,RB,Georgia,250,,513,1961-03-17,63,215
Richard Reese,RB,Baylor,250,41,413,2004-10-24,19,175
Armoni Goodwin,RB,LSU,250,,533,MISSING,MISSING,195
L.J. Johnson Jr.,RB,Texas State,250,,428,MISSING,MISSING,180
Trevion Cooley,RB,Georgia Tech,250,4,410,MISSING,MISSING,208
Derrick Davis Jr.,RB,LSU,250,,533,MISSING,MISSING,210
Kadarius Calloway,RB,California,250,,464,MISSING,MISSING,220
Byron Cardwell,RB,California,250,31,464,MISSING,MISSING,215
Barika Kpeenu,RB,North Dakota State,250,122,,MISSING,MISSING,199
Alton McCaskill IV,RB,,250,,,MISSING,MISSING,
Logan Diggs,RB,LSU,250,,533,2002-03-17,22,215
E.J. Smith,RB,Houston,250,,280,MISSING,MISSING,
Roydell Williams,RB,Alabama,250,,354,MISSING,MISSING,221
Dominic Richardson,RB,Baylor,250,19,413,MISSING,MISSING,210
Jalen Berger,RB,Michigan State,250,,354,2001-08-30,23,215
Cam Porter,RB,Northwestern,250,174,392,MISSING,MISSING,215
