player_name,college,draft_year,pick,round,birthdate,draft_age,college_season,rec_yards,rec_tds,receptions,team_rec_yards,team_rec_tds,yards_market_share,td_market_share,final_season_dominator,peak_dominator,peak_dominator_season,dominator_trend,breakout_age,ever_broke_out,ras_score,pff_overall_grade,pff_receiving_grade,yards_per_route_run,dc_score,breakout_score,ras_score_normalized,slap_score,slap_tier,delta,nfl_best_season_ppg,hit24,hit12
Keelan Marion,Miami,2026,193,7,2002-06-22,23.86,2025.0,746.0,2.0,,4051.0,32.0,0.184152061219452,0.0625,12.3326030609726,12.3326030609726,2025.0,0.0,,False,6.890000000000001,,,,39.70155451210871,27.3326030609726,68.9,41.60753104506519,Poor,1.90597653295648,,,
Josh Cameron,Baylor,2026,194,7,2003-03-18,23.12,2025.0,872.0,9.0,,3715.0,31.0,0.2347240915208613,0.2903225806451613,26.252333608301136,27.227059929539344,2024.0,-0.974726321238208,21.0,True,6.890000000000001,,,,39.500337629514114,63.61352996476967,68.9,48.73292545213811,Poor,9.232587822623998,,,
Noah Thomas,Georgia,2026,196,7,2004-01-13,22.3,2025.0,254.0,4.0,,3083.0,25.0,0.0823872851119039,0.16,12.1193642555952,12.1193642555952,2025.0,0.0,,False,6.890000000000001,,,,39.0990823378889,27.1193642555952,68.9,41.17327637074683,Poor,2.0741940328579247,,,
Aaron Anderson,LSU,2026,199,7,2002-12-02,23.41,2025.0,398.0,0.0,,2984.0,20.0,0.1333780160857909,0.0,6.668900804289544,19.33322638386977,2024.0,-12.664325579580227,,False,6.890000000000001,,,,38.500104329470645,34.33322638386977,68.9,42.22671309092988,Poor,3.726608761459232,,,
Dane Key,Nebraska,2026,202,7,2003-07-01,22.83,2025.0,452.0,5.0,,2920.0,23.0,0.1547945205479452,0.217391304347826,18.609291244788565,18.609291244788565,2025.0,0.0,,False,6.890000000000001,,,,37.904547996459925,33.609291244788565,68.9,41.694814446656665,Poor,3.7902664501967394,,,
Jordan Hudson,SMU,2026,211,7,2003-11-22,22.44,2025.0,766.0,6.0,,3680.0,26.0,0.2081521739130434,0.2307692307692307,21.946070234113712,21.946070234113712,2025.0,0.0,21.0,True,6.890000000000001,,,,36.13772172752879,60.97303511705685,68.9,46.01912614630509,Poor,9.8814044187763,,,
Caleb Douglas,Texas Tech,2026,212,7,2003-09-09,22.64,2025.0,830.0,7.0,,3887.0,33.0,0.2135322871108824,0.2121212121212121,21.282674961604727,21.282674961604727,2025.0,0.0,20.0,True,6.890000000000001,,,,35.94319234776309,75.64133748080236,68.9,48.82634252220648,Poor,12.883150174443394,,,
Reggie Virgil,Texas Tech,2026,216,7,2004-05-14,21.96,2025.0,,,,3887.0,33.0,,,,18.15959959772669,2025.0,,,False,6.890000000000001,,,,35.1685361424386,33.15959959772669,68.9,39.82646841213042,Poor,4.657932269691827,,,
Vinny Anthony II,Wisconsin,2026,224,7,MISSING,,2025.0,391.0,1.0,,1637.0,9.0,0.2388515577275504,0.1111111111111111,17.498133441933074,28.52300242130751,2024.0,-11.024868979374435,,False,6.890000000000001,,,,33.6353854310527,35.0,68.9,39.19800053018426,Poor,5.562615099131563,,,
Caullin Lacy,Louisville,2026,231,8,2001-12-22,24.36,2025.0,635.0,2.0,,2868.0,18.0,0.2214086471408647,0.1111111111111111,16.62598791259879,16.62598791259879,2025.0,0.0,,False,6.890000000000001,,,,32.31086999617516,31.62598791259879,68.9,37.66226308003361,Poor,5.351393083858454,,,
Amare Thomas,Houston,2026,250,8,2005-11-18,20.45,2025.0,966.0,12.0,,2813.0,26.0,0.3434056167792392,0.4615384615384615,40.247203915885045,40.247203915885045,2025.0,0.0,19.0,True,6.890000000000001,,,,28.79046960395864,99.9,68.9,49.02880524257312,Poor,20.23833563861448,,,
Zavion Thomas,LSU,2026,250,8,2004-09-14,21.63,2025.0,488.0,4.0,,2984.0,20.0,0.163538873994638,0.2,18.176943699731904,32.67193720733543,2023.0,-14.494993507603528,18.0,True,6.890000000000001,,,,28.79046960395864,99.9,68.9,49.02880524257312,Poor,20.23833563861448,,,
Shelton Sampson Jr.,Louisiana,2026,250,8,2005-04-18,21.03,2025.0,537.0,6.0,,2095.0,12.0,0.2563245823389021,0.5,37.81622911694511,37.81622911694511,2025.0,0.0,20.0,True,6.890000000000001,,,,28.79046960395864,83.90811455847256,68.9,45.83042815426763,Poor,17.039958550308988,,,
Anthony Evans III,Mississippi State,2026,250,8,2005-06-20,20.86,2025.0,831.0,4.0,,3138.0,20.0,0.2648183556405353,0.2,23.240917782026767,23.240917782026767,2025.0,0.0,20.0,True,6.890000000000001,,,,28.79046960395864,76.62045889101339,68.9,44.3728970207758,Poor,15.582427416817154,,,
Eli Heidenreich,Navy,2026,250,8,2002-05-15,23.96,2025.0,941.0,6.0,,1690.0,12.0,0.5568047337278107,0.5,52.840236686390526,52.840236686390526,2025.0,0.0,21.0,True,6.890000000000001,,,,28.79046960395864,69.9,68.9,43.02880524257312,Poor,14.23833563861448,,,
Ja'Varrius Johnson,Auburn,2026,250,8,2000-10-07,25.56,2025.0,,,,2365.0,11.0,,,,28.56338481338481,2022.0,,21.0,True,6.890000000000001,,,,28.79046960395864,64.2816924066924,68.9,41.9051437239116,Poor,13.11467411995296,,,
Hank Beatty,Illinois,2026,250,8,2003-09-20,22.61,2025.0,864.0,3.0,,3065.0,23.0,0.2818923327895595,0.1304347826086956,20.61635576991276,20.61635576991276,2025.0,0.0,21.0,True,6.890000000000001,,,,28.79046960395864,60.30817788495638,68.9,41.1104408195644,Poor,12.319971215605754,,,
Emmanuel Henderson,Kansas,2026,250,8,2003-03-21,23.11,2025.0,766.0,5.0,,2640.0,23.0,0.2901515151515151,0.217391304347826,25.377140974967062,25.377140974967062,2025.0,0.0,22.0,True,6.890000000000001,,,,28.79046960395864,47.68857048748353,68.9,38.58651934006983,Poor,9.796049736111186,,,
Kendrick Law,Kentucky,2026,250,8,2003-06-13,22.88,2025.0,540.0,3.0,,2423.0,15.0,0.2228642179116797,0.2,21.143210895583987,21.143210895583987,2025.0,0.0,22.0,True,6.890000000000001,,,,28.79046960395864,45.571605447792,68.9,38.16312633213152,Poor,9.372656728172878,,,
Jordan Dwyer,TCU,2026,250,8,MISSING,,2025.0,730.0,7.0,,3771.0,30.0,0.1935826040837974,0.2333333333333333,21.34579687085654,21.34579687085654,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,35.0,68.9,36.04880524257312,Poor,7.258335638614476,,,
Griffin Wilde,Northwestern,2026,250,8,MISSING,,2025.0,880.0,8.0,,2417.0,17.0,0.3640877120397187,0.4705882352941176,41.73379736669182,41.73379736669182,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,35.0,68.9,36.04880524257312,Poor,7.258335638614476,,,
Jalen Walthall,Incarnate Word,2026,250,8,MISSING,,2025.0,847.0,8.0,,1687.0,13.0,0.5020746887966805,0.6153846153846154,55.8729652090648,55.8729652090648,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,35.0,68.9,36.04880524257312,Poor,7.258335638614476,,,
Chase Roberts,BYU,2026,250,8,MISSING,,2025.0,802.0,6.0,,3096.0,15.0,0.2590439276485788,0.4,32.952196382428944,32.952196382428944,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,35.0,68.9,36.04880524257312,Poor,7.258335638614476,,,
C.J. Williams,Stanford,2026,250,8,MISSING,,2025.0,757.0,6.0,,2664.0,14.0,0.2841591591591592,0.4285714285714285,35.63652938652939,35.63652938652939,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,35.0,68.9,36.04880524257312,Poor,7.258335638614476,,,
Justus Ross-Simmons,Syracuse,2026,250,8,MISSING,,2025.0,312.0,5.0,,2607.0,17.0,0.1196777905638665,0.2941176470588235,20.689771881134504,20.689771881134504,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,35.0,68.9,36.04880524257312,Poor,7.258335638614476,,,
Cody Jackson,Tarleton State,2026,250,8,MISSING,,2025.0,799.0,6.0,,2684.0,26.0,0.2976900149031297,0.2307692307692307,26.422962283618023,53.35392762577229,2024.0,-26.93096534215427,,False,6.890000000000001,,,,28.79046960395864,35.0,68.9,36.04880524257312,Poor,7.258335638614476,,,
Cyrus Allen,Cincinnati,2026,250,8,MISSING,,2025.0,660.0,12.0,,2992.0,29.0,0.2205882352941176,0.4137931034482758,31.71906693711968,31.71906693711968,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,35.0,68.9,36.04880524257312,Poor,7.258335638614476,,,
Ja'Mori Maclin,Kentucky,2026,250,8,MISSING,,2024.0,313.0,4.0,,2218.0,15.0,0.1411181244364292,0.2666666666666666,20.38923955515479,20.38923955515479,2024.0,0.0,,False,6.890000000000001,,,,28.79046960395864,35.0,68.9,36.04880524257312,Poor,7.258335638614476,,,
Jalil Farooq,Maryland,2026,250,8,2001-09-13,24.63,2025.0,545.0,4.0,,3068.0,18.0,0.1776401564537157,0.2222222222222222,19.9931189337969,19.9931189337969,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,34.9931189337969,68.9,36.0474290293325,Poor,7.256959425373857,,,
Malik Benson,Oregon,2026,250,8,2002-10-17,23.54,2025.0,719.0,6.0,,3804.0,31.0,0.1890115667718191,0.1935483870967742,19.127997693429663,19.127997693429663,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,34.12799769342966,68.9,35.874404781259045,Poor,7.083935177300404,,,
Tyler Brown,Clemson,2026,250,8,2005-06-14,20.88,2025.0,191.0,0.0,,3481.0,22.0,0.0548692904337833,0.0,2.743464521689169,18.942404850117885,2023.0,-16.198940328428716,,False,6.890000000000001,,,,28.79046960395864,33.94240485011788,68.9,35.837286212596695,Poor,7.0468166086380535,,,
Jeff Caldwell,Cincinnati,2026,250,8,MISSING,,2025.0,478.0,6.0,,2992.0,29.0,0.15975935828877,0.2068965517241379,18.3327955006454,18.3327955006454,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,33.3327955006454,68.9,35.7153643427022,Poor,6.924894738743561,,,
Jaden Greathouse,Notre Dame,2026,250,8,2004-10-29,21.5,2025.0,73.0,0.0,,3061.0,25.0,0.0238484155504737,0.0,1.192420777523685,17.670872765509987,2024.0,-16.4784519879863,,False,6.890000000000001,,,,28.79046960395864,32.67087276550998,68.9,35.582979795675115,Poor,6.792510191716474,,,
Harrison Wallace III,Ole Miss,2026,250,8,2003-04-23,23.02,2025.0,934.0,4.0,,4700.0,26.0,0.1987234042553191,0.1538461538461538,17.62847790507365,17.62847790507365,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,32.62847790507365,68.9,35.57450082358785,Poor,6.784031219629206,,,
Trebor Pena,Penn State,2026,250,8,2002-02-21,24.19,2025.0,552.0,2.0,,2439.0,16.0,0.2263222632226322,0.125,17.56611316113161,17.56611316113161,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,32.56611316113161,68.9,35.56202787479944,Poor,6.771558270840799,,,
Rara Thomas,Troy,2026,250,8,2002-07-28,23.76,2025.0,629.0,5.0,,2929.0,20.0,0.2147490611130078,0.25,23.23745305565039,23.23745305565039,2025.0,0.0,23.0,True,6.890000000000001,,,,28.79046960395864,31.6187265278252,68.9,35.37255054813816,Poor,6.582080944179516,,,
J.Michael Sturdivant,Florida,2026,250,8,2002-09-06,23.65,2025.0,406.0,3.0,,2455.0,18.0,0.165376782077393,0.1666666666666666,16.602172437202984,16.602172437202984,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,31.602172437202984,68.9,35.36923973001372,Poor,6.578770126055076,,,
Jayden Ballard,Wisconsin,2026,250,8,MISSING,,2025.0,150.0,2.0,,1637.0,9.0,0.0916310323762981,0.2222222222222222,15.692662729926017,15.692662729926017,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,30.692662729926017,68.9,35.187337788558324,Poor,6.396868184599683,,,
Kobe Prentice,Baylor,2026,250,8,2004-03-10,22.14,2025.0,380.0,6.0,,3715.0,31.0,0.1022880215343203,0.1935483870967742,14.791820431554726,14.791820431554726,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,29.79182043155473,68.9,35.00716932888406,Poor,6.2166997249254194,,,
Mikey Matthews,UCLA,2026,250,8,MISSING,,2025.0,348.0,2.0,,2163.0,15.0,0.1608876560332871,0.1333333333333333,14.711049468331025,14.711049468331025,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,29.711049468331023,68.9,34.99101513623933,Poor,6.200545532280685,,,
Romello Brinson,SMU,2026,250,8,MISSING,,2025.0,638.0,3.0,,3680.0,26.0,0.1733695652173913,0.1153846153846153,14.437709030100336,14.437709030100336,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,29.437709030100336,68.9,34.936347048593184,Poor,6.145877444634543,,,
E.J. Williams,Indiana,2026,250,8,MISSING,,2025.0,438.0,6.0,,3826.0,46.0,0.1144798745426032,0.1304347826086956,12.245732857564946,14.169811152442884,2024.0,-1.924078294877939,,False,6.890000000000001,,,,28.79046960395864,29.16981115244288,68.9,34.88276747306169,Poor,6.092297869103049,,,
Dillon Bell,Georgia,2026,250,8,2003-11-06,22.48,2025.0,268.0,2.0,,3083.0,25.0,0.0869283165747648,0.08,8.346415828738243,12.792300711992183,2024.0,-4.445884883253941,,False,6.890000000000001,,,,28.79046960395864,27.792300711992183,68.9,34.607265384971555,Poor,5.816795781012914,,,
Joseph Manjack IV,TCU,2026,250,8,MISSING,,2025.0,579.0,3.0,,3771.0,30.0,0.1535401750198886,0.1,12.677008750994432,12.677008750994432,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,27.677008750994432,68.9,34.584206992772,Poor,5.793737388813362,,,
Donavon Greene,Virginia Tech,2026,250,8,MISSING,,2025.0,267.0,2.0,,1996.0,17.0,0.1337675350701402,0.1176470588235294,12.570729694683486,12.570729694683486,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,27.57072969468349,68.9,34.56295118150982,Poor,5.772481577551176,,,
Kyron Ware-Hudson,Penn State,2026,250,8,MISSING,,2025.0,288.0,2.0,,2439.0,16.0,0.1180811808118081,0.125,12.154059040590406,12.154059040590406,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,27.154059040590404,68.9,34.4796170506912,Poor,5.689147446732555,,,
Ayden Williams,Mississippi State,2026,250,8,MISSING,,2025.0,252.0,0.0,,3138.0,20.0,0.0803059273422562,0.0,4.015296367112811,11.678280557906422,2021.0,-7.662984190793612,,False,6.890000000000001,,,,28.79046960395864,26.678280557906422,68.9,34.3844613541544,Poor,5.593991750195762,,,
Barion Brown,LSU,2026,250,8,2003-12-12,22.38,2025.0,532.0,1.0,,2984.0,20.0,0.17828418230563,0.05,11.4142091152815,11.4142091152815,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,26.4142091152815,68.9,34.33164706562942,Poor,5.541177461670777,,,
Jaron Glover,Michigan State,2026,250,8,MISSING,,2024.0,192.0,2.0,,2617.0,13.0,0.0733664501337409,0.1538461538461538,11.36063019899474,11.36063019899474,2024.0,0.0,,False,6.890000000000001,,,,28.79046960395864,26.36063019899474,68.9,34.320931282372065,Poor,5.530461678413424,,,
London Humphreys,Georgia,2026,250,8,2005-05-13,20.97,2025.0,276.0,3.0,,3083.0,25.0,0.0895231916963996,0.12,10.47615958481998,10.47615958481998,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,25.47615958481998,68.9,34.14403715953711,Poor,5.353567555578472,,,
Andrel Anthony,Duke,2026,250,8,2002-01-07,24.31,2025.0,246.0,5.0,,3995.0,34.0,0.0615769712140175,0.1470588235294117,10.431789737171464,10.431789737171464,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,25.431789737171464,68.9,34.13516319000741,Poor,5.34469358604877,,,
Malik McClain,Arizona State,2026,250,8,MISSING,,2025.0,441.0,1.0,,2908.0,20.0,0.1516506189821183,0.05,10.082530949105914,10.082530949105914,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,25.08253094910592,68.9,34.065311432394296,Poor,5.274841828435655,,,
Max Tomzcak,Northern Illinois,2026,250,8,MISSING,,2025.0,,,,1186.0,8.0,,,,,,,,False,6.890000000000001,,,,28.79046960395864,25.0,68.9,34.04880524257312,Poor,5.258335638614476,,,
Cordale Russell,Colorado,2026,250,8,MISSING,,2025.0,,,,2433.0,17.0,,,,9.746031746031743,2021.0,,,False,6.890000000000001,,,,28.79046960395864,24.746031746031743,68.9,33.998011591779466,Poor,5.207541987820825,,,
Jerand Bradley,Kansas State,2026,250,8,2002-10-10,23.56,2025.0,184.0,2.0,,2380.0,18.0,0.0773109243697479,0.1111111111111111,9.42110177404295,9.42110177404295,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,24.42110177404296,68.9,33.93302559738171,Poor,5.142555993423066,,,
Kaleb Brown,UAB,2026,250,8,2003-10-07,22.57,2025.0,255.0,2.0,,3187.0,20.0,0.0800125509883903,0.1,9.000627549419518,9.000627549419518,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,24.00062754941952,68.9,33.84893075245702,Poor,5.058461148498381,,,
Kaden Wetjen,Iowa,2026,250,8,2002-03-09,24.15,2025.0,151.0,1.0,,1861.0,12.0,0.0811391724879097,0.0833333333333333,8.223625291062152,8.223625291062152,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,23.223625291062152,68.9,33.69353030078555,Poor,4.9030606968269055,,,
Brandon Inniss,Ohio State,2026,250,8,2004-10-07,21.56,2025.0,271.0,3.0,,3755.0,33.0,0.0721704394141145,0.0909090909090909,8.153976516160272,8.153976516160272,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,23.15397651616027,68.9,33.67960054580517,Poor,4.889130941846531,,,
Chris Hilton,LSU,2026,250,8,2002-10-11,23.55,2025.0,122.0,0.0,,2984.0,20.0,0.0408847184986595,0.0,2.044235924932976,8.147438278901685,2024.0,-6.103202353968709,,False,6.890000000000001,,,,28.79046960395864,23.147438278901685,68.9,33.678292898353455,Poor,4.887823294394813,,,
Colbie Young,Georgia,2026,250,8,2002-07-24,23.77,2025.0,358.0,1.0,,3083.0,25.0,0.116120661693156,0.04,7.806033084657801,7.806033084657801,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,22.8060330846578,68.9,33.61001185950468,Poor,4.81954225554604,,,
Jalen Brown,Arkansas,2026,250,8,MISSING,,2025.0,167.0,2.0,,3155.0,22.0,0.052931854199683,0.0909090909090909,7.192047255438698,7.192047255438698,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,22.1920472554387,68.9,33.48721469366086,Poor,4.696745089702219,,,
Dacari Collins,Louisville,2026,250,8,2002-11-04,23.49,2025.0,219.0,1.0,,2868.0,18.0,0.0763598326359832,0.0555555555555555,6.59576940957694,6.59576940957694,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,21.59576940957694,68.9,33.36795912448851,Poor,4.577489520529866,,,
Jared Brown,South Carolina,2026,250,8,MISSING,,2025.0,102.0,0.0,,2703.0,13.0,0.0377358490566037,0.0,1.8867924528301887,6.592205401318277,2024.0,-4.705412948488089,,False,6.890000000000001,,,,28.79046960395864,21.59220540131828,68.9,33.36724632283678,Poor,4.576776718878136,,,
Deion Colzie,Miami (OH),2026,250,8,2003-07-28,22.76,2025.0,178.0,1.0,,2622.0,17.0,0.0678871090770404,0.0588235294117647,6.335531924440257,6.335531924440257,2025.0,0.0,,False,6.890000000000001,,,,28.79046960395864,21.335531924440257,68.9,33.31591162746117,Poor,4.525442023502528,,,
