rank,player_name,position,college,projected_pick,projected_pick_raw,draft_age,birthdate,birthdate_source,early_declare,slap_score,dc_score,breakout_score_filled,production_score_filled,ras_score,delta_vs_dc,slap_old_65,rank_old,rank_change,score_change,breakout_age,peak_dominator,breakout_score,cfbd_receptions,cfbd_rec_yards,cfbd_team_pass_att,cfbd_rush_yards,production_raw,production_score,pff_receptions,pff_yards,pff_player_game_count,pff_grades_offense,pff_grades_pass_route,pff_yprr,pff_team_name,weight,height
39,Josh Kattus,TE,Kentucky,250,660,23.9,2002-06-10,estimated,0,28.40978715530656,28.79046960395864,22.995079950799507,24.574956002076313,40.0,-0.380682448652081,26.620562835400676,45,6,1.789224319905884,,7.995079950799508,22.995079950799507,17.0,195.0,367.0,,50.47683923705721,24.574956002076313,17.0,195.0,11.0,71.0,65.2,1.18,KENTUCKY,247.0,76.0
40,Andrew Rappleyea,TE,Penn State,250,507,23.2,2003-02-28,verified,1,28.317052373328828,28.79046960395864,22.395234182415777,24.5565698906085,40.0,-0.47341723062981345,31.528747358996334,26,-14,-3.2116949856675063,,7.395234182415776,22.395234182415777,20.0,180.0,339.0,,50.442477876106196,24.5565698906085,20.0,180.0,13.0,63.1,66.5,1.29,PENN STATE,251.0,76.0
41,Jaleel Skinner,TE,Louisville,250,626,22.6,2003-10-03,verified,1,28.148800868255645,28.79046960395864,22.15036803364879,23.679759338887603,40.0,-0.6416687357029964,31.404336381509196,27,-14,-3.2555355132535517,,7.150368033648791,22.15036803364879,21.0,204.0,418.0,,48.803827751196174,23.679759338887603,21.0,204.0,13.0,53.4,63.2,1.15,LOUISVILLE,230.0,77.0
42,Khalil Dinkins,TE,Penn State,250,355,23.7,2002-08-08,verified,0,27.94453687697612,28.79046960395864,21.861133935907972,22.60723349476492,40.0,-0.8459327269825216,26.253698682435804,47,5,1.6908381945403157,,6.86113393590797,21.861133935907972,14.0,167.0,339.0,,46.799410029498524,22.60723349476492,14.0,167.0,12.0,56.2,50.1,1.12,PENN STATE,251.0,76.0
43,Will Kacmarek,TE,Ohio State,250,399,23.0,2003-05-10,estimated,0,27.844739393716885,28.79046960395864,24.204545454545453,19.59850542106588,40.0,-0.9457302102417557,26.30433760286152,46,3,1.5404017908553662,,9.204545454545453,24.204545454545453,15.0,168.0,408.0,,41.17647058823529,19.59850542106588,15.0,168.0,14.0,77.3,73.1,1.45,OHIO STATE,258.0,78.0
44,Benji Gosnell,TE,Virginia Tech,250,643,21.6,2004-09-15,estimated,1,27.512950131148465,28.79046960395864,28.878713878713878,12.712408579774664,40.0,-1.2775194728101766,31.316853182357665,28,-16,-3.8039030512092005,,13.878713878713878,28.878713878713878,12.0,86.0,319.0,,28.307210031347967,12.712408579774664,12.0,86.0,12.0,50.0,51.3,0.58,VA TECH,254.0,77.0
45,Tanner Arkin,TE,Illinois,250,366,23.8,2002-07-01,estimated,0,26.23813053679388,28.79046960395864,19.948805460750854,13.14351970204044,40.0,-2.5523390671647626,25.020478031889787,48,3,1.2176525049040912,,4.948805460750854,19.948805460750854,13.0,114.0,372.0,,29.112903225806452,13.14351970204044,13.0,114.0,13.0,68.7,56.2,0.65,ILLINOIS,265.0,76.0
46,Amari Niblack,TE,Texas A&M,250,611,22.7,2003-08-25,verified,1,26.103385195098728,28.79046960395864,25.579100614687803,6.614922270135824,40.0,-2.6870844088599135,30.212162561789867,32,-14,-4.10877736669114,,10.579100614687803,25.579100614687803,5.0,69.0,408.0,,16.911764705882355,6.614922270135824,5.0,69.0,12.0,54.6,57.5,0.97,TEXAS A&M,235.0,75.0
47,Jack Pedersen,TE,UCLA,250,606,24.0,2002-04-18,estimated,0,25.310501620904123,28.79046960395864,19.203997243280497,7.704135146912413,40.0,-3.479967983054518,24.364818343756433,49,2,0.9456832771476904,,4.203997243280496,19.203997243280497,11.0,72.0,361.0,,18.947368421052634,7.704135146912413,11.0,74.0,11.0,45.9,50.1,0.64,UCLA,240.0,77.0
48,Luke Hasz,TE,Mississippi,250,490,22.0,2004-04-08,verified,1,25.296999016634544,28.79046960395864,26.244444444444444,0.5736705839512848,40.0,-3.493470587324097,29.707838967634913,33,-15,-4.410839951000369,,11.244444444444444,26.244444444444444,3.0,28.0,523.0,,5.621414913957936,0.5736705839512848,3.0,28.0,9.0,58.8,65.7,1.0,OLE MISS,240.0,75.0
49,Holden Staes,TE,Indiana,250,605,22.9,2003-06-01,estimated,0,25.20571918176881,28.79046960395864,20.4726368159204,5.736945980037105,40.0,-3.584750422189831,24.358395362964888,50,1,0.8473238188039218,,5.472636815920398,20.4726368159204,7.0,62.0,406.0,,15.270935960591133,5.736945980037105,7.0,62.0,16.0,59.3,59.3,0.79,INDIANA,248.0,76.0
50,Davin Stoffel,TE,Illinois,250,592,23.7,2002-08-15,estimated,0,23.76914630843198,28.79046960395864,15.787143325680551,0.8452869813647518,40.0,-5.02132329552666,23.16640543956167,51,1,0.6027408688703098,,0.787143325680551,15.787143325680551,1.0,24.0,372.0,,6.129032258064516,0.8452869813647518,1.0,24.0,12.0,62.2,52.6,0.69,ILLINOIS,260.0,78.0
51,Joey Schlaffer,TE,Penn State,250,588,22.2,2004-02-10,estimated,1,23.72608356922041,28.79046960395864,15.780608052588333,0.5647373263798193,40.0,-5.064386034738231,28.13737018309935,39,-12,-4.411286613878939,,0.780608052588332,15.780608052588333,1.0,19.0,339.0,,5.604719764011799,0.5647373263798193,1.0,19.0,2.0,79.8,73.5,9.5,PENN STATE,252.0,77.0
52,Shamar Easter,TE,North Carolina,250,546,23.6,2002-09-22,estimated,0,23.65341633419213,28.79046960395864,15.860897145446307,0.0,40.0,-5.137053269766511,23.09293981439006,52,0,0.5604765198020694,,0.8608971454463071,15.860897145446307,2.0,17.0,355.0,,4.549295774647887,0.0,2.0,19.0,7.0,46.5,48.3,0.41,N CAROLINA,215.0,77.0
