player_name,college,projected_pick,position,draft_year,projected_pick_raw,cfbd_receptions,cfbd_rec_yards,cfbd_team_pass_att,cfbd_rush_yards,cfbd_games,cfbd_matched,birthdate,birthdate_source,draft_age,early_declare,breakout_age,peak_dominator,breakout_score,pff_seasons,pff_receptions,pff_yards,pff_player_game_count,pff_grades_offense,pff_grades_pass_route,pff_yprr,pff_team_name,weight,height,weight_source
Miles Kitselman,Tennessee,250,TE,2026,266,26.0,253.0,437.0,2.0,,True,2002-08-22,estimated,23.7,0,,10.465924895688456,25.465924895688456,3.0,27.0,264.0,11.0,64.7,64.7,1.41,TENNESSEE,255.0,77.0,CFBD
R.J. Maryland,SMU,250,TE,2026,285,27.0,322.0,460.0,,,True,2002-03-06,verified,24.1,0,,13.316195372750641,28.31619537275064,4.0,27.0,320.0,12.0,62.4,67.5,1.62,SMU,,,missing
Carsen Ryan,BYU,250,TE,2026,306,45.0,620.0,403.0,,,True,2002-02-14,estimated,24.2,0,23.2,20.090732339598187,22.545366169799095,4.0,45.0,620.0,14.0,82.6,82.6,2.04,BYU,250.0,76.0,CFBD
Seydou Traore,Mississippi State,250,TE,2026,313,35.0,372.0,390.0,,,True,2002-07-20,estimated,23.8,0,19.8,23.25925925925926,79.12962962962963,4.0,35.0,374.0,13.0,60.3,63.0,1.08,MISS STATE,235.0,76.0,CFBD
Bauer Sharp,LSU,250,TE,2026,342,24.0,252.0,443.0,,,True,2004-01-15,estimated,22.3,1,,14.522635589421784,29.522635589421782,2.0,24.0,248.0,13.0,47.9,49.3,1.14,LSU,246.0,77.0,CFBD
Dan Villari,Syracuse,250,TE,2026,353,39.0,412.0,408.0,55.0,,True,2001-03-25,estimated,25.1,0,24.1,15.77924601632336,20.389623008161678,4.0,39.0,406.0,12.0,62.9,63.5,1.11,SYRACUSE,245.0,76.0,CFBD
Khalil Dinkins,Penn State,250,TE,2026,355,14.0,167.0,339.0,,,True,2002-08-08,verified,23.7,0,,6.86113393590797,21.861133935907972,4.0,14.0,167.0,12.0,56.2,50.1,1.12,PENN STATE,251.0,76.0,CFBD
Tanner Arkin,Illinois,250,TE,2026,366,13.0,114.0,372.0,,,True,2002-07-01,estimated,23.8,0,,4.948805460750854,19.948805460750854,5.0,13.0,114.0,13.0,68.7,56.2,0.65,ILLINOIS,265.0,76.0,CFBD
Lake McRee,USC,250,TE,2026,385,30.0,450.0,420.0,,,True,2003-06-15,estimated,22.9,1,,11.564449064449065,26.564449064449065,5.0,30.0,445.0,12.0,68.9,71.9,1.51,USC,250.0,76.0,CFBD
Will Kacmarek,Ohio State,250,TE,2026,399,15.0,168.0,408.0,,,True,2003-05-10,estimated,23.0,0,,9.204545454545453,24.204545454545453,4.0,15.0,168.0,14.0,77.3,73.1,1.45,OHIO STATE,258.0,78.0,CFBD
Lance Mason,Wisconsin,250,TE,2026,403,30.0,398.0,272.0,7.0,,True,2001-11-20,estimated,24.4,0,23.4,24.312767257177764,24.656383628588884,1.0,30.0,398.0,12.0,67.0,74.1,1.88,WISCONSIN,240.0,,CFBD
Brett Norfleet,Missouri,250,TE,2026,419,31.0,254.0,361.0,,,True,2003-04-12,estimated,23.0,1,,10.39279869067103,25.39279869067103,3.0,31.0,254.0,11.0,55.1,58.8,1.0,MISSOURI,263.0,78.0,CFBD
Jaren Kanak,Oklahoma,250,TE,2026,420,44.0,533.0,431.0,,,True,2004-06-22,verified,21.8,1,20.8,17.29200652528548,61.146003262642736,1.0,44.0,530.0,13.0,64.1,71.2,1.73,OKLAHOMA,233.0,74.0,CFBD
Matthew Hibner,SMU,250,TE,2026,432,31.0,436.0,460.0,,,True,2002-03-15,estimated,24.1,0,,11.825332248440466,26.825332248440468,3.0,31.0,436.0,13.0,62.6,61.3,1.37,SMU,252.0,77.0,CFBD
DJ Rogers,TCU,250,TE,2026,433,34.0,319.0,460.0,,,True,2002-09-08,estimated,23.6,0,,8.508935716190983,23.508935716190983,3.0,34.0,319.0,13.0,72.4,74.7,1.4,TCU,,,missing
Jameson Geers,Minnesota,250,TE,2026,436,26.0,206.0,399.0,1.0,,True,2002-11-25,estimated,23.4,0,,10.136315973435861,25.136315973435863,4.0,26.0,206.0,13.0,62.6,66.0,1.05,MINNESOTA,250.0,77.0,CFBD
Toby Payne,Marshall,250,TE,2026,450,36.0,387.0,335.0,0.0,,True,2002-05-18,estimated,23.9,0,22.9,15.770465489566613,30.385232744783305,3.0,37.0,393.0,12.0,65.7,64.3,1.32,MARSHALL,232.0,76.0,CFBD
Jack Velling,Michigan State,250,TE,2026,470,36.0,359.0,378.0,,,True,2002-07-30,estimated,23.7,0,21.7,15.777351247600768,45.38867562380038,4.0,36.0,359.0,12.0,63.2,67.8,1.2,MICH STATE,245.0,77.0,CFBD
Luke Hasz,Mississippi,250,TE,2026,490,3.0,28.0,523.0,,,True,2004-04-08,verified,22.0,1,,11.244444444444444,26.244444444444444,3.0,3.0,28.0,9.0,58.8,65.7,1.0,OLE MISS,240.0,75.0,CFBD
Andrew Rappleyea,Penn State,250,TE,2026,507,20.0,180.0,339.0,,,True,2003-02-28,verified,23.2,1,,7.395234182415776,22.395234182415777,1.0,20.0,180.0,13.0,63.1,66.5,1.29,PENN STATE,251.0,76.0,CFBD
Ethan Davis,Tennessee,250,TE,2026,531,21.0,257.0,437.0,,,True,2002-12-05,estimated,23.4,0,,6.756046267087276,21.756046267087278,3.0,21.0,257.0,9.0,65.1,73.1,1.8,TENNESSEE,245.0,77.0,CFBD
Shamar Easter,North Carolina,250,TE,2026,546,2.0,17.0,355.0,,,True,2002-09-22,estimated,23.6,0,,0.8608971454463071,15.860897145446307,2.0,2.0,19.0,7.0,46.5,48.3,0.41,N CAROLINA,215.0,77.0,CFBD
Cooper Flanagan,Notre Dame,250,TE,2026,557,,,322.0,,,False,2003-03-14,estimated,23.1,1,,1.7421602787456445,16.742160278745644,2.0,,,,,,,,258.0,78.0,CFBD
Joey Schlaffer,Penn State,250,TE,2026,588,1.0,19.0,339.0,,,True,2004-02-10,estimated,22.2,1,,0.780608052588332,15.780608052588333,1.0,1.0,19.0,2.0,79.8,73.5,9.5,PENN STATE,252.0,77.0,CFBD
Davin Stoffel,Illinois,250,TE,2026,592,1.0,24.0,372.0,,,True,2002-08-15,estimated,23.7,0,,0.787143325680551,15.787143325680551,1.0,1.0,24.0,12.0,62.2,52.6,0.69,ILLINOIS,260.0,78.0,CFBD
Holden Staes,Indiana,250,TE,2026,605,7.0,62.0,406.0,,,True,2003-06-01,estimated,22.9,0,,5.472636815920398,20.4726368159204,4.0,7.0,62.0,16.0,59.3,59.3,0.79,INDIANA,248.0,76.0,CFBD
Jack Pedersen,UCLA,250,TE,2026,606,11.0,72.0,361.0,,,True,2002-04-18,estimated,24.0,0,,4.203997243280496,19.203997243280497,2.0,11.0,74.0,11.0,45.9,50.1,0.64,UCLA,240.0,77.0,CFBD
Amari Niblack,Texas A&M,250,TE,2026,611,5.0,69.0,408.0,,,True,2003-08-25,verified,22.7,1,,10.579100614687803,25.579100614687803,4.0,5.0,69.0,12.0,54.6,57.5,0.97,TEXAS A&M,235.0,75.0,CFBD
Jaleel Skinner,Louisville,250,TE,2026,626,21.0,204.0,418.0,,,True,2003-10-03,verified,22.6,1,,7.150368033648791,22.15036803364879,4.0,21.0,204.0,13.0,53.4,63.2,1.15,LOUISVILLE,230.0,77.0,CFBD
Benji Gosnell,Virginia Tech,250,TE,2026,643,12.0,86.0,319.0,,,True,2004-09-15,estimated,21.6,1,,13.878713878713878,28.878713878713878,3.0,12.0,86.0,12.0,50.0,51.3,0.58,VA TECH,254.0,77.0,CFBD
Josh Kattus,Kentucky,250,TE,2026,660,17.0,195.0,367.0,,,True,2002-06-10,estimated,23.9,0,,7.995079950799508,22.995079950799507,4.0,17.0,195.0,11.0,71.0,65.2,1.18,KENTUCKY,247.0,76.0,CFBD
Ty Thompson,Tulane,250,TE,2026,735,,,425.0,,,False,2002-11-30,estimated,23.4,0,,8.252032520325203,23.2520325203252,5.0,,,,,,,,224.0,76.0,CFBD
Chamon Metayer,Arizona State,250,TE,2026,759,38.0,375.0,430.0,1.0,,True,2002-05-05,estimated,24.0,0,,12.980269989615783,27.980269989615785,4.0,38.0,375.0,12.0,56.3,62.9,1.37,ARIZONA ST,255.0,76.0,CFBD
Nate Rutchena,UC Davis,250,TE,2026,822,,,,,,False,2002-07-15,estimated,23.8,0,,,,,,,,,,,,230.0,75.0,CFBD
