player_name,college,birthdate,draft_age,seasons_found,seasons_data,breakout_season,breakout_age,peak_dominator,peak_dominator_season,status
C.J. Daniels,Miami,2002-01-04,24,1,"[{""season"": 2025, ""cfbd_name"": ""C.J. Daniels"", ""player_rec_yards"": 557.0, ""player_rec_tds"": 7.0, ""team_rec_yards"": 4051.0, ""team_rec_tds"": 32.0, ""dominator"": 0.17812345717106887, ""dominator_pct"": 17.812345717106886, ""age_at_season"": 23}]",,,17.812345717106886,2025.0,never_hit_20pct
Brenen Thompson,Mississippi State,2003-07-25,22,1,"[{""season"": 2025, ""cfbd_name"": ""Brenen Thompson"", ""player_rec_yards"": 1054.0, ""player_rec_tds"": 6.0, ""team_rec_yards"": 3138.0, ""team_rec_tds"": 20.0, ""dominator"": 0.31794136392606753, ""dominator_pct"": 31.794136392606752, ""age_at_season"": 22}]",2025.0,22.0,31.794136392606752,2025.0,breakout_found
Deion Burks,Oklahoma,2003-01-08,22,2,"[{""season"": 2024, ""cfbd_name"": ""Deion Burks"", ""player_rec_yards"": 245.0, ""player_rec_tds"": 3.0, ""team_rec_yards"": 2286.0, ""team_rec_tds"": 16.0, ""dominator"": 0.14733705161854768, ""dominator_pct"": 14.733705161854768, ""age_at_season"": 21}, {""season"": 2025, ""cfbd_name"": ""Deion Burks"", ""player_rec_yards"": 620.0, ""player_rec_tds"": 4.0, ""team_rec_yards"": 3050.0, ""team_rec_tds"": 17.0, ""dominator"": 0.21928640308582448, ""dominator_pct"": 21.928640308582448, ""age_at_season"": 22}]",2025.0,22.0,21.928640308582448,2025.0,breakout_found
Ted Hurst,Georgia State,MISSING,MISSING,2,"[{""season"": 2024, ""cfbd_name"": ""Ted Hurst"", ""player_rec_yards"": 961.0, ""player_rec_tds"": 9.0, ""team_rec_yards"": 3069.0, ""team_rec_tds"": 21.0, ""dominator"": 0.3708513708513709, ""dominator_pct"": 37.085137085137085, ""age_at_season"": null}, {""season"": 2025, ""cfbd_name"": ""Ted Hurst"", ""player_rec_yards"": 1004.0, ""player_rec_tds"": 6.0, ""team_rec_yards"": 3053.0, ""team_rec_tds"": 22.0, ""dominator"": 0.30079206741506115, ""dominator_pct"": 30.079206741506116, ""age_at_season"": null}]",2024.0,,37.085137085137085,2024.0,breakout_found
Bryce Lance,North Dakota State,2001-09-20,23,3,"[{""season"": 2023, ""cfbd_name"": ""Bryce Lance"", ""player_rec_yards"": 7.0, ""player_rec_tds"": 0.0, ""team_rec_yards"": 2964.0, ""team_rec_tds"": 22.0, ""dominator"": 0.0011808367071524967, ""dominator_pct"": 0.11808367071524967, ""age_at_season"": 21}, {""season"": 2024, ""cfbd_name"": ""Bryce Lance"", ""player_rec_yards"": 1054.0, ""player_rec_tds"": 17.0, ""team_rec_yards"": 3591.0, ""team_rec_tds"": 38.0, ""dominator"": 0.37043998886104146, ""dominator_pct"": 37.04399888610415, ""age_at_season"": 22}, {""season"": 2025, ""cfbd_name"": ""Bryce Lance"", ""player_rec_yards"": 1079.0, ""player_rec_tds"": 8.0, ""team_rec_yards"": 3104.0, ""team_rec_tds"": 20.0, ""dominator"": 0.37380798969072165, ""dominator_pct"": 37.38079896907217, ""age_at_season"": 23}]",2024.0,22.0,37.38079896907217,2025.0,breakout_found
Kevin Coleman Jr.,Missouri,2003-09-10,21,1,"[{""season"": 2025, ""cfbd_name"": ""Kevin Coleman Jr."", ""player_rec_yards"": 732.0, ""player_rec_tds"": 1.0, ""team_rec_yards"": 2449.0, ""team_rec_tds"": 15.0, ""dominator"": 0.18278208792704503, ""dominator_pct"": 18.278208792704504, ""age_at_season"": 21}]",,,18.278208792704504,2025.0,never_hit_20pct
Eric McAlister,TCU,MISSING,22,2,"[{""season"": 2024, ""cfbd_name"": ""Eric McAlister"", ""player_rec_yards"": 762.0, ""player_rec_tds"": 5.0, ""team_rec_yards"": 4068.0, ""team_rec_tds"": 29.0, ""dominator"": 0.1798647136608687, ""dominator_pct"": 17.98647136608687, ""age_at_season"": null}, {""season"": 2025, ""cfbd_name"": ""Eric McAlister"", ""player_rec_yards"": 1190.0, ""player_rec_tds"": 10.0, ""team_rec_yards"": 3771.0, ""team_rec_tds"": 30.0, ""dominator"": 0.32444974807743304, ""dominator_pct"": 32.44497480774331, ""age_at_season"": null}]",2025.0,,32.44497480774331,2025.0,breakout_found
Eric Rivers,Georgia Tech,MISSING,22,1,"[{""season"": 2025, ""cfbd_name"": ""Eric Rivers"", ""player_rec_yards"": 671.0, ""player_rec_tds"": 2.0, ""team_rec_yards"": 3413.0, ""team_rec_tds"": 16.0, ""dominator"": 0.16080061529446235, ""dominator_pct"": 16.080061529446237, ""age_at_season"": null}]",,,16.080061529446237,2025.0,never_hit_20pct
Lewis Bond,Boston College,MISSING,22,5,"[{""season"": 2021, ""cfbd_name"": ""Lewis Bond"", ""player_rec_yards"": 6.0, ""player_rec_tds"": 0.0, ""team_rec_yards"": 2217.0, ""team_rec_tds"": 13.0, ""dominator"": 0.0013531799729364006, ""dominator_pct"": 0.13531799729364005, ""age_at_season"": null}, {""season"": 2022, ""cfbd_name"": ""Lewis Bond"", ""player_rec_yards"": 51.0, ""player_rec_tds"": 0.0, ""team_rec_yards"": 2965.0, ""team_rec_tds"": 21.0, ""dominator"": 0.008600337268128162, ""dominator_pct"": 0.8600337268128162, ""age_at_season"": null}, {""season"": 2023, ""cfbd_name"": ""Lewis Bond"", ""player_rec_yards"": 646.0, ""player_rec_tds"": 7.0, ""team_rec_yards"": 2394.0, ""team_rec_tds"": 15.0, ""dominator"": 0.3682539682539683, ""dominator_pct"": 36.82539682539683, ""age_at_season"": null}, {""season"": 2024, ""cfbd_name"": ""Lewis Bond"", ""player_rec_yards"": 689.0, ""player_rec_tds"": 3.0, ""team_rec_yards"": 2591.0, ""team_rec_tds"": 24.0, ""dominator"": 0.19546024700887688, ""dominator_pct"": 19.54602470088769, ""age_at_season"": null}, {""season"": 2025, ""cfbd_name"": ""Lewis Bond"", ""player_rec_yards"": 1010.0, ""player_rec_tds"": 1.0, ""team_rec_yards"": 3362.0, ""team_rec_tds"": 20.0, ""dominator"": 0.17520820939916715, ""dominator_pct"": 17.520820939916714, ""age_at_season"": null}]",2023.0,,36.82539682539683,2023.0,breakout_found
De'Zhaun Stribling,Ole Miss,2002-12-18,22,1,"[{""season"": 2025, ""cfbd_name"": ""De'Zhaun Stribling"", ""player_rec_yards"": 811.0, ""player_rec_tds"": 6.0, ""team_rec_yards"": 4700.0, ""team_rec_tds"": 26.0, ""dominator"": 0.20166121112929625, ""dominator_pct"": 20.166121112929623, ""age_at_season"": 22}]",2025.0,22.0,20.166121112929623,2025.0,breakout_found
Keelan Marion,Miami,2002-06-22,24,1,"[{""season"": 2025, ""cfbd_name"": ""Keelan Marion"", ""player_rec_yards"": 746.0, ""player_rec_tds"": 2.0, ""team_rec_yards"": 4051.0, ""team_rec_tds"": 32.0, ""dominator"": 0.123326030609726, ""dominator_pct"": 12.3326030609726, ""age_at_season"": 23}]",,,12.3326030609726,2025.0,never_hit_20pct
Josh Cameron,Baylor,2003-03-18,22,4,"[{""season"": 2022, ""cfbd_name"": ""Josh Cameron"", ""player_rec_yards"": 386.0, ""player_rec_tds"": 0.0, ""team_rec_yards"": 3009.0, ""team_rec_tds"": 19.0, ""dominator"": 0.06414091060152875, ""dominator_pct"": 6.414091060152876, ""age_at_season"": 19}, {""season"": 2023, ""cfbd_name"": ""Josh Cameron"", ""player_rec_yards"": 224.0, ""player_rec_tds"": 0.0, ""team_rec_yards"": 3156.0, ""team_rec_tds"": 15.0, ""dominator"": 0.035487959442332066, ""dominator_pct"": 3.5487959442332064, ""age_at_season"": 20}, {""season"": 2024, ""cfbd_name"": ""Josh Cameron"", ""player_rec_yards"": 754.0, ""player_rec_tds"": 10.0, ""team_rec_yards"": 3397.0, ""team_rec_tds"": 31.0, ""dominator"": 0.27227059929539343, ""dominator_pct"": 27.227059929539344, ""age_at_season"": 21}, {""season"": 2025, ""cfbd_name"": ""Josh Cameron"", ""player_rec_yards"": 872.0, ""player_rec_tds"": 9.0, ""team_rec_yards"": 3715.0, ""team_rec_tds"": 31.0, ""dominator"": 0.26252333608301137, ""dominator_pct"": 26.252333608301136, ""age_at_season"": 22}]",2024.0,21.0,27.227059929539344,2024.0,breakout_found
Noah Thomas,Georgia,2004-01-13,21,2,"[{""season"": 2023, ""cfbd_name"": ""Rara Thomas"", ""player_rec_yards"": 383.0, ""player_rec_tds"": 1.0, ""team_rec_yards"": 4274.0, ""team_rec_tds"": 29.0, ""dominator"": 0.062047181837251705, ""dominator_pct"": 6.204718183725171, ""age_at_season"": 19}, {""season"": 2025, ""cfbd_name"": ""Noah Thomas"", ""player_rec_yards"": 254.0, ""player_rec_tds"": 4.0, ""team_rec_yards"": 3083.0, ""team_rec_tds"": 25.0, ""dominator"": 0.121193642555952, ""dominator_pct"": 12.1193642555952, ""age_at_season"": 21}]",,,12.1193642555952,2025.0,never_hit_20pct
Aaron Anderson,LSU,2002-12-02,22,3,"[{""season"": 2023, ""cfbd_name"": ""Aaron Anderson"", ""player_rec_yards"": 60.0, ""player_rec_tds"": 0.0, ""team_rec_yards"": 4407.0, ""team_rec_tds"": 44.0, ""dominator"": 0.0068073519400953025, ""dominator_pct"": 0.6807351940095302, ""age_at_season"": 20}, {""season"": 2024, ""cfbd_name"": ""Aaron Anderson"", ""player_rec_yards"": 875.0, ""player_rec_tds"": 5.0, ""team_rec_yards"": 4084.0, ""team_rec_tds"": 29.0, ""dominator"": 0.1933322638386977, ""dominator_pct"": 19.33322638386977, ""age_at_season"": 21}, {""season"": 2025, ""cfbd_name"": ""Aaron Anderson"", ""player_rec_yards"": 398.0, ""player_rec_tds"": 0.0, ""team_rec_yards"": 2984.0, ""team_rec_tds"": 20.0, ""dominator"": 0.06668900804289545, ""dominator_pct"": 6.668900804289544, ""age_at_season"": 22}]",,,19.33322638386977,2024.0,never_hit_20pct
Dane Key,Nebraska,2003-07-01,22,1,"[{""season"": 2025, ""cfbd_name"": ""Dane Key"", ""player_rec_yards"": 452.0, ""player_rec_tds"": 5.0, ""team_rec_yards"": 2920.0, ""team_rec_tds"": 23.0, ""dominator"": 0.18609291244788564, ""dominator_pct"": 18.609291244788565, ""age_at_season"": 22}]",,,18.609291244788565,2025.0,never_hit_20pct
Jordan Hudson,SMU,2003-11-22,22,3,"[{""season"": 2023, ""cfbd_name"": ""Jordan Hudson"", ""player_rec_yards"": 425.0, ""player_rec_tds"": 7.0, ""team_rec_yards"": 3897.0, ""team_rec_tds"": 33.0, ""dominator"": 0.1605897310285301, ""dominator_pct"": 16.05897310285301, ""age_at_season"": 19}, {""season"": 2024, ""cfbd_name"": ""Jordan Hudson"", ""player_rec_yards"": 422.0, ""player_rec_tds"": 5.0, ""team_rec_yards"": 3610.0, ""team_rec_tds"": 28.0, ""dominator"": 0.14773446774831817, ""dominator_pct"": 14.773446774831816, ""age_at_season"": 20}, {""season"": 2025, ""cfbd_name"": ""Jordan Hudson"", ""player_rec_yards"": 766.0, ""player_rec_tds"": 6.0, ""team_rec_yards"": 3680.0, ""team_rec_tds"": 26.0, ""dominator"": 0.21946070234113713, ""dominator_pct"": 21.946070234113712, ""age_at_season"": 21}]",2025.0,21.0,21.946070234113712,2025.0,breakout_found
Caleb Douglas,Texas Tech,2003-09-09,21,2,"[{""season"": 2024, ""cfbd_name"": ""Caleb Douglas"", ""player_rec_yards"": 880.0, ""player_rec_tds"": 6.0, ""team_rec_yards"": 3811.0, ""team_rec_tds"": 31.0, ""dominator"": 0.21222945463471615, ""dominator_pct"": 21.222945463471614, ""age_at_season"": 20}, {""season"": 2025, ""cfbd_name"": ""Caleb Douglas"", ""player_rec_yards"": 830.0, ""player_rec_tds"": 7.0, ""team_rec_yards"": 3887.0, ""team_rec_tds"": 33.0, ""dominator"": 0.21282674961604728, ""dominator_pct"": 21.282674961604727, ""age_at_season"": 21}]",2024.0,20.0,21.282674961604727,2025.0,breakout_found
Reggie Virgil,Texas Tech,2004-05-14,21,1,"[{""season"": 2025, ""cfbd_name"": ""Reginald Virgil"", ""player_rec_yards"": 705.0, ""player_rec_tds"": 6.0, ""team_rec_yards"": 3887.0, ""team_rec_tds"": 33.0, ""dominator"": 0.1815959959772669, ""dominator_pct"": 18.15959959772669, ""age_at_season"": 21}]",,,18.15959959772669,2025.0,never_hit_20pct
Vinny Anthony II,Wisconsin,MISSING,MISSING,3,"[{""season"": 2023, ""cfbd_name"": ""Vinny Anthony"", ""player_rec_yards"": 99.0, ""player_rec_tds"": 0.0, ""team_rec_yards"": 2862.0, ""team_rec_tds"": 14.0, ""dominator"": 0.01729559748427673, ""dominator_pct"": 1.729559748427673, ""age_at_season"": null}, {""season"": 2024, ""cfbd_name"": ""Vinny Anthony"", ""player_rec_yards"": 672.0, ""player_rec_tds"": 4.0, ""team_rec_yards"": 2360.0, ""team_rec_tds"": 14.0, ""dominator"": 0.2852300242130751, ""dominator_pct"": 28.52300242130751, ""age_at_season"": null}, {""season"": 2025, ""cfbd_name"": ""Vinny Anthony"", ""player_rec_yards"": 391.0, ""player_rec_tds"": 1.0, ""team_rec_yards"": 1637.0, ""team_rec_tds"": 9.0, ""dominator"": 0.17498133441933075, ""dominator_pct"": 17.498133441933074, ""age_at_season"": null}]",2024.0,,28.52300242130751,2024.0,breakout_found
Caullin Lacy,Louisville,2001-12-22,23,2,"[{""season"": 2024, ""cfbd_name"": ""Caullin Lacy"", ""player_rec_yards"": 196.0, ""player_rec_tds"": 1.0, ""team_rec_yards"": 3424.0, ""team_rec_tds"": 26.0, ""dominator"": 0.04785226455787203, ""dominator_pct"": 4.785226455787203, ""age_at_season"": 22}, {""season"": 2025, ""cfbd_name"": ""Caullin Lacy"", ""player_rec_yards"": 635.0, ""player_rec_tds"": 2.0, ""team_rec_yards"": 2868.0, ""team_rec_tds"": 18.0, ""dominator"": 0.1662598791259879, ""dominator_pct"": 16.62598791259879, ""age_at_season"": 23}]",,,16.62598791259879,2025.0,never_hit_20pct
Kendrick Law,Kentucky,2003-06-13,22,1,"[{""season"": 2025, ""cfbd_name"": ""Kendrick Law"", ""player_rec_yards"": 540.0, ""player_rec_tds"": 3.0, ""team_rec_yards"": 2423.0, ""team_rec_tds"": 15.0, ""dominator"": 0.21143210895583986, ""dominator_pct"": 21.143210895583987, ""age_at_season"": 22}]",2025.0,22.0,21.143210895583987,2025.0,breakout_found
Colbie Young,Georgia,2002-07-24,23,2,"[{""season"": 2024, ""cfbd_name"": ""Colbie Young"", ""player_rec_yards"": 149.0, ""player_rec_tds"": 2.0, ""team_rec_yards"": 3952.0, ""team_rec_tds"": 29.0, ""dominator"": 0.05333397319558844, ""dominator_pct"": 5.333397319558844, ""age_at_season"": 22}, {""season"": 2025, ""cfbd_name"": ""Colbie Young"", ""player_rec_yards"": 358.0, ""player_rec_tds"": 1.0, ""team_rec_yards"": 3083.0, ""team_rec_tds"": 25.0, ""dominator"": 0.07806033084657801, ""dominator_pct"": 7.806033084657801, ""age_at_season"": 23}]",,,7.806033084657801,2025.0,never_hit_20pct
