player_name,position,draft_year,pick,round,college,seasons_played,best_rank,best_ppr,hit24,hit12,RAS,breakout_age,peak_dominator,birthdate,name_norm,player,team_name,yprr,grades_offense,grades_pass_route,drop_rate,contested_catch_rate,targets,routes,receptions,yards,dc_score
Mike Thomas,WR,2016,206,6,Southern Miss,8,140.0,30.3,0,0,7.66,21.0,32.567157712305026,1994-08-16,mike thomas,Mike Thomas,SO MISS,2.99,84.8,85.4,9.0,,113.0,466.0,71.0,1392.0,37.115674968761425
Aaron Burbridge,WR,2016,213,6,Michigan St.,8,152.0,15.8,0,0,2.78,21.0,32.64421610716213,1993-12-23,aaron burbridge,Aaron Burbridge,MICH STATE,2.85,85.4,85.7,10.5,,146.0,441.0,85.0,1258.0,35.74901134195683
Devin Lucien,WR,2016,225,7,Arizona St.,8,999.0,0.0,0,0,6.68,22.0,27.14861504159163,1993-06-26,devin lucien,Devin Lucien,ARIZONA ST,2.65,82.3,83.9,4.3,,98.0,405.0,66.0,1074.0,33.445215911948296
Demarcus Ayers,WR,2016,229,7,Houston,8,999.0,0.0,0,0,0.89,21.0,31.208983711140743,1994-07-07,demarcus ayers,De'Marcus Ayers,HOUSTON,2.8,88.5,88.9,2.0,,133.0,444.0,99.0,1241.0,32.687727412828664
Daniel Braverman,WR,2016,230,7,Western Michigan,8,197.0,0.0,0,0,2.56,22.0,39.946955513952034,1993-09-28,daniel braverman,Daniel Braverman,W MICHIGAN,3.14,91.2,91.4,6.2,,135.0,436.0,106.0,1370.0,32.499143045455526
Devin Fuller,WR,2016,238,7,UCLA,8,999.0,0.0,0,0,8.34,21.0,17.597,1994-01-29,devin fuller,Devin Fuller,UCLA,1.55,68.8,67.9,0.0,,32.0,167.0,24.0,259.0,31.00152182589578
Charone Peake,WR,2016,241,7,Clemson,8,121.0,37.6,0,0,5.76,22.0,15.329456731240404,1992-10-16,charone peake,Charone Peake,CLEMSON,1.95,72.1,70.4,9.1,,81.0,370.0,50.0,723.0,30.444862386220947
Kenny Lawler,WR,2016,243,7,California,8,999.0,0.0,0,0,2.09,21.0,25.33983310028668,1994-06-25,kenny lawler,Kenny Lawler,CAL,1.67,71.7,71.9,10.3,,87.0,395.0,52.0,658.0,30.075218322602993
Corey Davis,WR,2017,5,1,Western Michigan,7,29.0,191.4,0,0,,21.0,50.01629656314061,1995-01-11,corey davis,Corey Davis,W MICHIGAN,3.57,90.7,90.3,10.1,,136.0,424.0,98.0,1512.0,95.89012507645334
Mike Williams,WR,2017,7,1,Clemson,7,14.0,246.6,1,0,7.24,22.0,25.807768239391315,1994-10-04,mike williams,Mike Williams,CLEMSON,3.34,91.3,91.2,5.8,,141.0,406.0,98.0,1357.0,94.38004324460745
John Ross,WR,2017,9,1,Washington,7,75.0,95.0,0,0,9.5,20.0,33.95593166589344,1995-11-27,john ross,John Ross,WASHINGTON,3.05,86.8,85.8,4.7,,123.0,374.0,81.0,1139.0,93.02779892479941
Zay Jones,WR,2017,37,2,East Carolina,7,19.0,232.8,1,0,9.71,21.0,37.032939546696426,1995-03-30,zay jones,Zay Jones,E CAROLINA,2.96,90.9,90.7,3.7,,216.0,589.0,158.0,1744.0,79.88373711084623
Curtis Samuel,WR,2017,40,2,Ohio St.,7,28.0,212.1,0,0,7.45,20.0,29.013498188255472,1996-08-11,curtis samuel,Curtis Samuel,OHIO STATE,2.76,82.4,81.8,7.5,,98.0,313.0,74.0,865.0,78.76865523265029
JuJu Smith-Schuster,WR,2017,62,2,USC,7,9.0,296.90000000000003,1,1,,19.0,27.87069132741273,1996-11-22,juju smithschuster,JuJu Smith-Schuster,USC,3.4,83.8,83.6,9.2,,132.0,428.0,89.0,1454.0,71.3905481598709
Taywan Taylor,WR,2017,72,3,Western Kentucky,7,83.0,87.6,0,0,8.7,21.0,38.576021886388645,1995-03-02,taywan taylor,Taywan Taylor,W KENTUCKY,4.08,91.0,92.5,3.4,,111.0,360.0,86.0,1469.0,68.37819198708551
ArDarius Stewart,WR,2017,79,3,Alabama,7,146.0,16.900000000000002,0,0,,22.0,29.081508219111264,1993-12-08,ardarius stewart,ArDarius Stewart,ALABAMA,2.6,76.3,73.3,6.9,,77.0,325.0,54.0,845.0,66.36371289664757
Carlos Henderson,WR,2017,82,3,Louisiana Tech,7,999.0,0.0,0,0,5.75,20.0,37.18050114061836,1995-10-28,carlos henderson,Carlos Henderson,LA TECH,3.55,90.7,90.4,4.7,,137.0,431.0,82.0,1530.0,65.52128074753156
Chris Godwin,WR,2017,84,3,Penn St.,7,3.0,276.1,1,1,9.66,20.0,32.41757203589985,1996-02-27,chris godwin,Chris Godwin,PENN STATE,2.56,80.5,80.0,8.0,,116.0,430.0,69.0,1101.0,64.96615833500175
Kenny Golladay,WR,2017,96,3,Northern Illinois,7,11.0,248.0,1,1,8.94,22.0,41.58753709198813,1993-11-03,kenny golladay,Kenny Golladay,N ILLINOIS,2.93,87.2,85.2,4.4,,141.0,394.0,87.0,1156.0,61.73512832043268
Amara Darboh,WR,2017,106,3,Michigan,7,150.0,15.1,0,0,9.6,22.0,33.138606676342526,1994-02-01,amara darboh,Amara Darboh,MICHIGAN,2.45,81.0,78.9,9.5,,101.0,352.0,57.0,862.0,59.158487311545166
Dede Westbrook,WR,2017,110,4,Oklahoma,7,34.0,175.5,0,0,4.84,22.0,38.15991108566424,1993-11-21,dede westbrook,Dede Westbrook,OKLAHOMA,4.07,91.2,91.3,4.8,,104.0,373.0,80.0,1518.0,58.15392954892286
Josh Reynolds,WR,2017,117,4,Texas A&M,7,45.0,156.0,0,0,9.1,21.0,39.66174253843835,1995-02-16,josh reynolds,Josh Reynolds,TEXAS A&M,2.33,82.2,83.4,9.0,,94.0,445.0,61.0,1039.0,56.42873272246869
Mack Hollins,WR,2017,118,4,North Carolina,7,47.0,154.0,0,0,,23.0,10.72072072072072,1993-09-16,mack hollins,Mack Hollins,N CAROLINA,3.3,73.8,73.3,16.7,,51.0,226.0,30.0,745.0,56.18551835350469
Josh Malone,WR,2017,128,4,Tennessee,7,140.0,18.5,0,0,7.03,20.0,35.32027649769585,1996-03-21,josh malone,Josh Malone,TENNESSEE,2.44,75.0,75.7,5.7,,74.0,399.0,50.0,972.0,53.79494679154125
Ryan Switzer,WR,2017,133,4,North Carolina,7,97.0,69.4,0,0,4.83,21.0,24.58934662818158,1994-11-04,ryan switzer,Ryan Switzer,N CAROLINA,2.76,79.8,81.1,3.0,,126.0,404.0,97.0,1114.0,52.626376413965254
Jehu Chesson,WR,2017,139,4,Michigan,7,182.0,3.8,0,0,7.94,22.0,14.0711175616836,1993-12-20,jehu chesson,Jehu Chesson,MICHIGAN,2.1,78.9,77.2,9.1,,79.0,365.0,50.0,765.0,51.245903565087225
Chad Hansen,WR,2017,141,4,California,7,121.0,46.6,0,0,7.39,21.0,32.10759303721489,1995-01-18,chad hansen,Chad Hansen,CAL,3.13,85.8,85.5,4.2,,144.0,399.0,92.0,1248.0,50.79080422061093
Shelton Gibson,WR,2017,166,5,West Virginia,7,178.0,5.800000000000001,0,0,3.98,21.0,29.60836650636232,1995-03-20,shelton gibson,Shelton Gibson,W VIRGINIA,2.58,70.6,73.2,8.5,,72.0,369.0,43.0,951.0,45.29445820618241
Rodney Adams,WR,2017,170,5,South Florida,7,227.0,0.0,0,0,6.02,22.0,22.868530782438068,1994-09-15,rodney adams,Rodney Adams,USF,2.61,70.7,72.1,10.2,,72.0,316.0,44.0,824.0,44.44517844407706
Isaiah McKenzie,WR,2017,172,5,Georgia,7,57.0,122.8,0,0,,21.0,34.459493041749504,1995-04-09,isaiah mckenzie,Isaiah McKenzie,GEORGIA,2.89,79.5,80.2,13.7,,65.0,219.0,44.0,633.0,44.02338900352743
DeAngelo Yancey,WR,2017,175,5,Purdue,7,999.0,0.0,0,0,9.08,21.0,33.43599886973722,1994-11-18,deangelo yancey,DeAngelo Yancey,PURDUE,1.74,64.1,64.5,5.8,,97.0,545.0,49.0,951.0,43.39418247364378
Trent Taylor,WR,2017,177,5,Louisiana Tech,7,69.0,98.0,0,0,4.0,22.0,31.675131776850247,1994-04-30,trent taylor,Trent Taylor,LA TECH,3.27,87.1,87.5,2.8,,171.0,556.0,137.0,1816.0,42.97698723959096
Robert Davis,WR,2017,209,6,Georgia St.,7,196.0,3.7,0,0,9.79,21.0,31.084900965462325,1995-04-02,robert davis,Robert Davis,GA STATE,2.39,74.5,73.1,4.3,,122.0,405.0,67.0,968.0,36.527834756947215
Stacy Coley,WR,2017,219,7,Miami (FL),7,200.0,0.0,0,0,4.46,22.0,27.24466891133558,1994-05-13,stacy coley,Stacy Coley,MIAMI FL,2.78,78.4,80.4,2.1,,66.0,248.0,47.0,690.0,34.591116608286086
Isaiah Ford,WR,2017,237,7,Virginia Tech,7,110.0,55.6,0,0,5.05,20.0,26.21121728877392,1996-02-09,isaiah ford,Isaiah Ford,VA TECH,2.69,81.6,82.5,6.3,,126.0,433.0,75.0,1164.0,31.187666633411297
Noah Brown,WR,2017,239,7,Ohio St.,7,58.0,122.4,0,0,6.88,20.0,20.6891544270185,1996-01-06,noah brown,Noah Brown,OHIO STATE,1.66,76.3,74.1,8.6,,49.0,242.0,32.0,402.0,30.815673988275364
Malachi Dupre,WR,2017,247,7,LSU,7,999.0,0.0,0,0,7.2,21.0,25.49868478737396,1995-10-12,malachi dupre,Malachi Dupre,LSU,2.56,79.2,80.1,6.8,,65.0,232.0,41.0,593.0,29.339380105472458
D.J. Moore,WR,2018,24,1,Maryland,6,18.0,238.1,1,0,9.65,20.0,53.29037800687285,1997-04-14,dj moore,DJ Moore,MARYLAND,2.83,83.2,81.4,8.0,40.7,132.0,365.0,80.0,1033.0,85.18360526375135
Calvin Ridley,WR,2018,26,1,Alabama,6,7.0,281.5,1,1,5.12,22.0,26.783076598438488,1994-12-20,calvin ridley,Calvin Ridley,ALABAMA,2.78,77.9,79.2,10.0,18.8,97.0,348.0,63.0,967.0,84.3076609651975
Courtland Sutton,WR,2018,40,2,SMU,6,16.0,247.6,1,0,9.81,22.0,31.33328350958484,1995-10-10,courtland sutton,Courtland Sutton,SMU,2.85,83.7,85.5,6.2,,130.0,436.0,76.0,1241.0,78.76865523265029
Dante Pettis,WR,2018,44,2,Washington,6,74.0,103.5,0,0,,21.0,31.628272346955555,1995-10-23,dante pettis,Dante Pettis,WASHINGTON,2.57,81.4,80.5,4.6,47.4,98.0,295.0,62.0,757.0,77.33014043640625
Christian Kirk,WR,2018,47,2,Texas A&M,6,9.0,285.7,1,1,6.23,20.0,36.79647052274119,1996-11-18,christian kirk,Christian Kirk,TEXAS A&M,2.3,78.1,79.2,7.8,42.9,112.0,400.0,71.0,919.0,76.2836840704932
Anthony Miller,WR,2018,51,2,Memphis,6,59.0,127.5,0,0,9.27,23.0,39.86222732491389,1994-10-09,anthony miller,Anthony Miller,MEMPHIS,3.47,86.2,88.6,11.1,41.7,150.0,421.0,96.0,1459.0,74.92708446694223
James Washington,WR,2018,60,2,Oklahoma St.,6,57.0,133.5,0,0,5.55,21.0,32.87691724141616,1996-04-02,james washington,James Washington,OKLA STATE,3.48,85.7,86.7,6.3,48.0,120.0,444.0,74.0,1546.0,72.01459586635139
DJ Chark,WR,2018,61,2,LSU,6,61.0,115.5,0,0,,21.0,25.345268542199488,1996-09-23,dj chark,DJ Chark Jr.,LSU,2.92,76.8,80.1,4.8,66.7,69.0,299.0,40.0,873.0,71.70160008687043
Michael Gallup,WR,2018,81,3,Colorado St.,6,28.0,212.7,0,0,5.87,21.0,30.665964727559885,1996-03-04,michael gallup,Michael Gallup,COLO STATE,4.34,91.3,91.7,5.0,,112.0,293.0,76.0,1272.0,65.80076958583709
Tre'Quan Smith,WR,2018,91,3,Central Florida,6,66.0,126.6,0,0,6.85,21.0,30.68050081150012,1996-01-07,trequan smith,Tre'Quan Smith,UCF,2.81,83.7,81.0,9.2,54.5,83.0,417.0,59.0,1171.0,63.061580711070775
Keke Coutee,WR,2018,103,4,Texas Tech,6,80.0,90.7,0,0,5.64,20.0,30.75643812158335,1997-01-14,keke coutee,Keke Coutee,TEXAS TECH,3.1,86.0,88.1,9.8,,82.0,287.0,55.0,890.0,59.92138766628686
Antonio Callaway,WR,2018,105,4,Florida,6,56.0,132.3,0,0,6.2,20.0,21.18538324420677,1997-01-09,antonio callaway,Antonio Callaway,FLORIDA,2.17,71.2,71.5,11.5,,85.0,333.0,54.0,721.0,59.41186469623246
DaeSean Hamilton,WR,2018,113,4,Penn St.,6,99.0,66.3,0,0,8.09,22.0,25.422521208907742,1995-03-10,daesean hamilton,DaeSean Hamilton,PENN STATE,2.02,80.8,78.8,7.0,61.1,82.0,428.0,53.0,864.0,57.409597693011136
Jaleel Scott,WR,2018,132,4,New Mexico St.,6,205.0,2.6,0,0,7.6,22.0,27.616366743741832,1995-02-23,jaleel scott,Jaleel Scott,NEW MEX ST,1.86,75.9,75.4,7.3,51.4,122.0,579.0,76.0,1078.0,52.85873645151093
J'Mon Moore,WR,2018,133,4,Missouri,6,188.0,3.5,0,0,8.43,22.0,24.848182724553613,1995-05-23,jmon moore,J'Mon Moore,MISSOURI,2.85,77.2,79.5,11.0,57.9,97.0,380.0,65.0,1082.0,52.626376413965254
Jordan Lasley,WR,2018,162,5,UCLA,6,999.0,0.0,0,0,4.47,20.0,28.753569897317767,1996-11-13,jordan lasley,Jordan Lasley,UCLA,3.15,82.1,83.4,15.9,54.2,104.0,401.0,69.0,1264.0,46.15155112223164
Marquez Valdes-Scantling,WR,2018,174,5,South Florida,6,43.0,166.1,0,0,9.26,23.0,26.713759625041845,1994-10-10,marquez valdesscantling,Marquez Valdes-Scantling,USF,2.31,71.1,69.7,14.5,45.0,93.0,379.0,53.0,875.0,43.60345922205765
Damion Ratley,WR,2018,175,6,Texas A&M,6,128.0,38.0,0,0,9.02,22.0,24.260980905194007,1995-04-16,damion ratley,Damion Ratley,TEXAS A&M,1.91,68.0,67.3,6.3,40.0,54.0,363.0,30.0,694.0,43.39418247364378
Deon Cain,WR,2018,185,6,Clemson,6,144.0,21.4,0,0,6.47,21.0,28.778390337026533,1996-08-09,deon cain,Deon Cain,CLEMSON,3.44,76.8,80.6,5.6,,49.0,169.0,34.0,582.0,41.325810352464025
Ray-Ray McCloud,WR,2018,187,6,Clemson,6,50.0,142.5,0,0,3.71,20.0,10.569323270709557,1996-10-15,rayray mccloud,Ray-Ray McCloud III,CLEMSON,1.75,69.3,68.3,7.5,,64.0,270.0,49.0,472.0,40.917284913571535
Dylan Cantrell,WR,2018,191,6,Texas Tech,6,999.0,0.0,0,0,9.86,23.0,19.40525587828493,1994-06-29,dylan cantrell,Dylan Cantrell,TEXAS TECH,1.61,77.2,73.6,7.9,,84.0,418.0,58.0,675.0,40.10518084262188
Russell Gage,WR,2018,194,6,LSU,6,38.0,175.5,0,0,8.0,21.0,14.21105304125431,1996-01-22,russell gage,Russell Gage,LSU,1.47,67.9,68.6,8.7,33.3,39.0,194.0,21.0,285.0,39.500337629514114
Equanimeous St. Brown,WR,2018,207,6,Notre Dame,6,105.0,62.7,0,0,9.85,21.0,21.06574989256553,1996-09-30,equanimeous st brown,Equanimeous St. Brown,NOTRE DAME,2.69,78.1,78.9,4.9,,89.0,357.0,58.0,961.0,36.919368987448195
Cedrick Wilson Jr.,WR,2018,208,6,Boise St.,6,88.0,76.3,0,0,,21.0,34.008179745193615,1995-11-20,cedrick wilson,Cedrick Wilson Jr.,BOISE ST,3.74,87.7,88.7,8.2,,98.0,302.0,56.0,1129.0,36.72342304569737
Braxton Berrios,WR,2018,210,6,Miami (FL),6,64.0,115.1,0,0,5.68,22.0,27.962908592679582,1995-10-06,braxton berrios,Braxton Berrios,MIAMI FL,1.69,71.8,71.2,6.8,70.0,84.0,403.0,55.0,680.0,36.332601761788666
Javon Wims,WR,2018,224,7,Georgia,6,120.0,42.6,0,0,5.44,23.0,28.228263600954897,1994-09-11,javon wims,Javon Wims,GEORGIA,2.57,79.9,78.2,13.2,44.0,74.0,282.0,46.0,724.0,33.6353854310527
Marcell Ateman,WR,2018,228,7,Oklahoma St.,6,134.0,36.4,0,0,5.18,23.0,22.235993653269794,1994-09-16,marcell ateman,Marcell Ateman,OKLA STATE,3.52,89.3,87.9,4.8,55.2,90.0,330.0,60.0,1160.0,32.876624975929246
Richie James,WR,2018,240,7,Middle Tenn. St.,6,45.0,157.70000000000002,0,0,5.99,22.0,10.964141091219096,1995-09-05,richie james,Richie James,MIDDLE TN,3.37,91.0,91.5,5.4,,142.0,394.0,106.0,1326.0,30.630121407180937
Auden Tate,WR,2018,253,7,Florida St.,6,72.0,101.5,0,0,1.82,20.0,34.55040973661123,1997-02-03,auden tate,Auden Tate,FLORIDA ST,1.79,75.7,75.2,4.8,66.7,67.0,306.0,40.0,548.0,28.244056507249695
Austin Proehl,WR,2018,255,7,North Carolina,6,999.0,0.0,0,0,3.62,22.0,8.72920517560074,1995-10-11,austin proehl,Austin Proehl,N CAROLINA,3.0,75.7,74.5,7.7,,14.0,75.0,12.0,225.0,27.881148372763306
Trey Quinn,WR,2018,256,7,SMU,6,107.0,51.8,0,0,7.01,21.0,34.73674376891746,1995-12-07,trey quinn,Trey Quinn,SMU,2.62,89.8,89.8,1.7,57.1,154.0,472.0,114.0,1236.0,27.70010003873648
Marquise Brown,WR,2019,25,1,Oklahoma,5,23.0,226.3,1,0,,19.0,26.19788265660269,1997-06-04,marquise brown,Marquise Brown,OKLAHOMA,3.79,85.2,86.1,10.9,16.7,82.0,287.0,57.0,1087.0,84.74230353324101
N'Keal Harry,WR,2019,32,1,Arizona St.,5,143.0,30.4,0,0,8.44,21.0,40.47158903204493,1997-12-17,nkeal harry,N'Keal Harry,ARIZONA ST,2.71,86.0,87.3,6.4,51.4,113.0,402.0,73.0,1088.0,81.82194951930317
Deebo Samuel,WR,2019,36,2,South Carolina,5,2.0,385.1,1,1,7.91,19.0,29.59256329113924,1996-01-15,deebo samuel,Deebo Samuel,S CAROLINA,2.75,79.0,77.4,6.3,20.0,22.0,91.0,15.0,250.0,80.26299861749231
A.J. Brown,WR,2019,51,2,Mississippi,5,6.0,333.2,1,1,8.59,19.0,29.77500108276668,1997-06-30,aj brown,A.J. Brown,OLE MISS,3.19,80.1,81.8,8.5,68.8,96.0,393.0,75.0,1253.0,74.92708446694223
Mecole Hardman,WR,2019,56,2,Georgia,5,39.0,178.5,0,0,8.3,22.0,18.69854102778552,1998-03-12,mecole hardman,Mecole Hardman Jr.,GEORGIA,2.75,73.7,73.9,10.0,66.7,37.0,154.0,27.0,423.0,73.28694247866397
JJ Arcega-Whiteside,WR,2019,57,2,Stanford,5,999.0,0.0,0,0,,21.0,38.78169335495586,1996-12-31,jj arcegawhiteside,J.J. Arcega-Whiteside,STANFORD,3.03,90.3,89.8,6.0,62.9,94.0,350.0,63.0,1059.0,72.96570404937304
Parris Campbell,WR,2019,59,2,Ohio St.,5,50.0,149.1,0,0,9.76,19.0,20.7713717693837,1997-07-16,parris campbell,Parris Campbell,OHIO STATE,3.47,86.0,87.6,5.2,71.4,111.0,309.0,91.0,1071.0,72.3295803529313
Andy Isabella,WR,2019,62,2,Massachusetts,5,113.0,54.8,0,0,7.26,21.0,47.80170270942083,1996-11-18,andy isabella,Andy Isabella,UMASS,4.15,93.2,93.8,5.6,36.0,146.0,409.0,101.0,1696.0,71.3905481598709
D.K. Metcalf,WR,2019,64,2,Mississippi,5,999.0,0.0,0,0,,22.0,18.140673047771667,1997-12-14,dk metcalf,D.K. Metcalf,OLE MISS,2.83,71.9,73.8,10.3,45.5,42.0,201.0,26.0,569.0,70.7741049369252
Diontae Johnson,WR,2019,66,3,Toledo,5,9.0,288.8,1,1,4.18,19.0,25.28132348001344,1996-07-05,diontae johnson,Diontae Johnson,TOLEDO,3.68,88.1,89.3,6.3,66.7,104.0,347.0,74.0,1278.0,70.1649400864357
Jalen Hurd,WR,2019,67,3,Baylor,5,999.0,0.0,0,0,8.21,19.0,21.56124919109364,1996-01-23,jalen hurd,Jalen Hurd,BAYLOR,2.1,76.8,76.9,11.5,22.2,106.0,451.0,69.0,946.0,69.86299160356411
Terry McLaurin,WR,2019,76,3,Ohio St.,5,4.0,322.5,1,1,9.56,22.0,17.968190854870773,1995-09-15,terry mclaurin,Terry McLaurin,OHIO STATE,2.19,73.7,72.3,5.4,50.0,49.0,320.0,35.0,701.0,67.21839332711826
Miles Boykin,WR,2019,93,3,Notre Dame,5,99.0,74.6,0,0,9.94,22.0,30.453017948784744,1996-10-12,miles boykin,Miles Boykin,NOTRE DAME,2.13,69.6,67.5,7.7,50.0,25.0,119.0,12.0,253.0,62.52775678229379
Hakeem Butler,WR,2019,103,4,Iowa St.,5,216.0,0.0,0,0,9.47,22.0,43.58800000000001,1997-02-04,hakeem butler,Hakeem Butler,IOWA STATE,3.27,82.4,82.9,15.5,56.7,104.0,403.0,60.0,1318.0,59.92138766628686
Gary Jennings Jr,WR,2019,120,4,West Virginia,5,999.0,0.0,0,0,,19.0,27.870701054114512,1997-03-07,gary jennings,Gary Jennings,W VIRGINIA,2.69,81.4,83.4,10.0,68.8,72.0,341.0,54.0,917.0,55.70142651358927
Riley Ridley,WR,2019,126,4,Georgia,5,158.0,13.5,0,0,4.53,19.0,22.24003345413995,1996-07-21,riley ridley,Riley Ridley,GEORGIA,1.9,64.3,63.7,25.0,,24.0,125.0,12.0,238.0,54.26721625603232
Hunter Renfrow,WR,2019,149,5,Clemson,5,11.0,272.9,1,1,2.91,19.0,7.850753979786237,1995-12-21,hunter renfrow,Hunter Renfrow,CLEMSON,1.71,71.9,72.7,2.0,66.7,66.0,318.0,49.0,545.0,48.99440866994782
Darius Slayton,WR,2019,171,5,Auburn,5,38.0,170.0,0,0,8.91,22.0,23.346018735363,1997-01-12,darius slayton,Darius Slayton,AUBURN,2.23,66.4,64.3,12.1,20.0,69.0,288.0,29.0,643.0,44.2340493948423
KeeSean Johnson,WR,2019,174,6,Fresno St.,5,115.0,46.0,0,0,3.18,19.0,33.114173468764626,1996-10-09,keesean johnson,KeeSean Johnson,FRESNO ST,3.06,83.8,84.9,6.8,47.8,129.0,439.0,96.0,1345.0,43.60345922205765
Travis Fulgham,WR,2019,184,6,Old Dominion,5,69.0,115.9,0,0,8.01,19.0,36.58390308264363,1995-09-13,travis fulgham,Travis Fulgham,DOMINION,2.2,80.1,79.3,7.4,57.7,107.0,492.0,63.0,1083.0,41.53070215783976
