player_name,college,draft_year,pick,round,birthdate,draft_age,college_season,rush_yards,rush_att,rec_yards,receptions,team_pass_att,rec_yards_per_team_pass_att,ras_score,pff_overall_grade,pff_rushing_grade,pff_receiving_grade,dc_score,production_score,age_weight_used,ras_score_normalized,slap_score,slap_tier,delta,nfl_best_season_ppg,hit24,hit12
Kaelon Black,Indiana,2026,250,8,2001-10-17,24.54,2025,,,36.0,,406.0,0.0886699507389162,6.65,,,,28.79046960395864,2.9746188130424587,0.59,66.5,25.411351386544183,Poor,-3.379118217414458,,,
Cam Porter,Northwestern,2026,250,8,,,2025,,,23.0,,378.0,0.0608465608465608,6.65,,,,28.79046960395864,1.8155706727135297,0.52,66.5,25.00568453742905,Poor,-3.7847850665295866,,,
Terion Stewart,Virginia Tech,2026,250,8,2001-11-29,24.42,2025,,,19.0,,319.0,0.0595611285266457,6.65,,,,28.79046960395864,1.372801910732945,0.4,66.5,24.85071547073585,Poor,-3.939754133222792,,,
Branson Robinson,Georgia State,2026,250,8,2004-03-17,22.12,2025,,,22.0,,475.0,0.0463157894736842,6.65,,,,28.79046960395864,1.2103057644110278,0.46,66.5,24.79384181952318,Poor,-3.9966277844354607,,,
Roydell Williams,Florida State,2026,250,8,2001-12-08,24.39,2025,,,19.0,,339.0,0.0560471976401179,6.65,,,,28.79046960395864,1.1794353139485882,0.37,66.5,24.783037161861326,Poor,-4.007432442097315,,,
E.J. Smith,Texas A&M,2026,250,8,2002-05-15,23.96,2025,,,18.0,,408.0,0.0441176470588235,6.65,,,,28.79046960395864,0.5229691876750703,0.21,66.5,24.5532740176656,Poor,-4.237195586293048,,,
Djay Braswell,Georgia State,2026,250,8,2004-12-29,21.34,2025,,,17.0,,475.0,0.0357894736842105,6.65,,,,28.79046960395864,0.2835087719298244,0.14,66.5,24.46946287215476,Poor,-4.321006731803884,,,
Max Bredeson,Michigan,2026,250,8,2002-10-04,23.57,2025,,,11.0,,340.0,0.0323529411764705,6.65,,,,28.79046960395864,0.0733893557422971,0.04,66.5,24.395921076489124,Poor,-4.394548527469517,,,
Le'Veon Moss,Texas A&M,2026,250,8,2002-11-15,23.46,2025,,,3.0,,408.0,0.0073529411764705,6.65,,,,28.79046960395864,0.0,0.0,66.5,24.37023480197932,Poor,-4.420234801979319,,,
Kedrick Reescano,Arizona,2026,250,8,,,2025,,,12.0,,447.0,0.0268456375838926,6.65,,,,28.79046960395864,0.0,0.0,66.5,24.37023480197932,Poor,-4.420234801979319,,,
Trevion Cooley,Georgia Tech,2026,250,8,2002-03-20,24.11,2025,,,,,394.0,,6.65,,,,28.79046960395864,0.0,,66.5,24.37023480197932,Poor,-4.420234801979319,,,
Ashton Jeanty,Boise State,2025,6,1,2003-12-02,21.0,2024,,,138.0,,415.0,0.3325301204819277,5.0,,,,95.11104923064929,19.951807228915666,1.05,50.0,62.03865714544513,Below Average,-33.07239208520416,,,
Omarion Hampton,North Carolina,2025,22,1,2003-03-16,22.0,2024,,,373.0,,391.0,0.9539641943734016,9.7,,,,86.0877712199221,54.51223967848009,1.0,97.0,76.67316949742909,Average,-9.414601722493018,,,
Quinshon Judkins,Ohio State,2025,36,2,2003-10-29,21.0,2024,,,161.0,,455.0,0.3538461538461538,9.9,,,,80.26299861749231,21.230769230769237,1.05,99.0,62.41226853951539,Below Average,-17.850730077976927,,,
TreVeyon Henderson,Ohio State,2025,38,2,2002-10-22,22.0,2024,,,284.0,,455.0,0.6241758241758242,8.87,,,,79.50835134744189,35.66718995290424,1.0,88.69999999999999,65.54269215723743,Below Average,-13.965659190204462,,,
RJ Harvey,UCF,2025,60,2,2001-02-04,24.0,2024,,,267.0,,310.0,0.8612903225806452,8.49,,,,72.01459586635139,46.7557603686636,0.95,84.9,65.10681406220796,Below Average,-6.907781804143426,,,
Kaleb Johnson,Iowa,2025,83,3,2003-08-14,22.0,2024,,,188.0,,260.0,0.7230769230769231,5.0,,,,65.24308414300828,41.31868131868132,1.0,50.0,54.5830805330426,Poor,-10.660003609965678,,,
Bhayshul Tuten,Virginia Tech,2025,104,4,2002-02-14,22.0,2024,,,79.0,,339.0,0.2330383480825958,9.56,,,,59.66616074360643,13.316477033291193,1.0,95.6,48.83384733345513,Poor,-10.8323134101513,,,
Cam Skattebo,Arizona State,2025,105,4,2002-02-05,23.0,2024,,,605.0,,382.0,1.5837696335078535,5.0,,,,59.41186469623246,85.97606581899775,0.95,50.0,67.29755538476545,Below Average,7.885690688532982,,,
Trevor Etienne,Georgia,2025,114,4,2004-07-09,21.0,2024,,,194.0,,513.0,0.378167641325536,6.94,,,,57.16316107479519,22.69005847953216,1.05,69.4,46.93310100523385,Poor,-10.23006006956134,,,
Woody Marks,USC,2025,116,4,2000-12-29,24.0,2024,,,321.0,,533.0,0.6022514071294559,5.0,,,,56.67273831410285,32.69364781559903,0.95,50.0,47.27914589251108,Poor,-9.39359242159177,,,
Jarquez Hunter,Auburn,2025,117,4,2002-12-29,22.0,2024,,,155.0,,369.0,0.4200542005420054,7.17,,,,56.42873272246869,24.00309717382888,1.0,71.7,47.37045037207445,Poor,-9.058282350394236,,,
Dylan Sampson,Tennessee,2025,126,4,2004-09-14,20.0,2024,,,143.0,,373.0,0.3833780160857908,6.6,,,,54.26721625603232,24.09804672539257,1.1,66.0,45.46792448190356,Poor,-8.799291774128761,,,
Jordan James,Oregon,2025,147,5,2004-03-29,21.0,2024,,,209.0,,460.0,0.4543478260869565,4.65,,,,49.43999843619903,27.260869565217394,1.05,46.5,41.2363035659256,Poor,-8.20369487027343,,,
Jaydon Blue,Texas,2025,149,5,2004-01-08,21.0,2024,,,368.0,,541.0,0.6802218114602587,6.34,,,,48.99440866994782,40.813308687615525,1.05,63.4,48.29186237563934,Poor,-0.7025462943084833,,,
DJ Giddens,Kansas State,2025,151,5,2003-08-26,22.0,2024,,,258.0,,381.0,0.6771653543307087,9.78,,,,48.551086004790726,38.69516310461193,1.0,97.8,52.48885008900953,Poor,3.9377640842188057,,,
Ollie Gordon,Oklahoma State,2025,179,6,,21.0,2024,,,201.0,,450.0,0.4466666666666666,5.0,,,,42.56157955714502,26.800000000000004,1.05,50.0,38.160789778572514,Poor,-4.400789778572509,,,
Devin Neal,Kansas,2025,184,6,2003-08-12,22.0,2024,,,254.0,,306.0,0.8300653594771242,6.66,,,,41.53070215783976,47.43230625583567,1.0,66.6,47.35665826846237,Poor,5.825956110622606,,,
Kalel Mullings,Michigan,2025,188,6,2002-10-04,22.0,2024,,,35.0,,308.0,0.1136363636363636,5.0,,,,40.71364508735466,6.493506493506493,1.0,50.0,30.1295498164046,Poor,-10.584095270950055,,,
Tahj Brooks,Texas Tech,2025,193,6,2002-05-13,23.0,2024,,,185.0,,536.0,0.3451492537313433,8.58,,,,39.70155451210871,18.736673773987206,0.95,85.8,39.278613076949874,Poor,-0.4229414351588332,,,
Damien Martinez,Miami,2025,223,7,2004-01-31,21.0,2024,,,204.0,,489.0,0.4171779141104294,8.19,,,,33.82587783423648,25.030674846625764,1.05,81.89999999999999,37.95867511343725,Poor,4.132797279200773,,,
Brashard Smith,SMU,2025,228,7,2003-04-11,22.0,2024,,,327.0,,437.0,0.7482837528604119,7.21,,,,32.876624975929246,42.75907159202354,1.0,72.1,42.21898754517286,Poor,9.342362569243612,,,
Kyle Monangai,Rutgers,2025,233,7,2002-06-06,23.0,2024,,,75.0,,395.0,0.189873417721519,4.03,,,,31.93525043772044,10.307414104882458,0.95,40.3,25.62022015556908,Poor,-6.315030282151362,,,
LeQuint Allen,Syracuse,2025,236,7,,21.0,2024,,,529.0,,598.0,0.8846153846153846,5.0,,,,31.374110141410995,53.07692307692308,1.05,50.0,41.76397814762858,Poor,10.389868006217583,,,
Phil Mafah,Clemson,2025,239,7,2002-10-24,22.0,2024,,,103.0,,529.0,0.1947069943289225,5.0,,,,30.815673988275364,11.126113961652717,1.0,50.0,26.801976880716133,Poor,-4.013697107559231,,,
Jacory Croskey-Merritt,Arizona,2025,245,7,2001-04-12,24.0,2024,,,,,437.0,,8.29,,,,29.70672855690705,30.0,,82.89999999999999,37.78836427845353,Poor,8.08163572154648,,,
Jonathon Brooks,Texas,2024,46,2,2003-07-21,21.0,2023,1135.0,187.0,286.0,25.0,475.0,0.6021052631578947,6.65,91.5,91.9,,76.62960369267617,37.84661654135338,1.1,66.5,61.53611763581177,Below Average,-15.0934860568644,0.4411764705882353,0.0,0.0
Trey Benson,Florida St.,2024,66,3,2002-07-23,22.0,2023,905.0,156.0,227.0,20.0,433.0,0.5242494226327945,9.76,84.2,87.2,,70.1649400864357,31.454965357967662,1.05,97.6,60.73170791850654,Below Average,-9.43323216792917,2.764705882352941,0.0,0.0
Blake Corum,Michigan,2024,83,3,2000-11-25,23.0,2023,1245.0,258.0,117.0,16.0,361.0,0.3240997229916897,8.29,84.0,83.1,,65.24308414300828,18.5199841709537,1.0,82.89999999999999,51.538536531337925,Poor,-13.70454761167035,1.9705882352941173,0.0,0.0
MarShawn Lloyd,USC,2024,88,3,2001-01-05,23.0,2023,816.0,115.0,232.0,13.0,461.0,0.5032537960954447,8.62,80.8,86.0,,63.870755038336846,28.75735977688255,1.0,86.19999999999999,54.93045344107731,Poor,-8.940301597259534,0.1647058823529411,0.0,0.0
Jaylen Wright,Tennessee,2024,120,4,2003-04-01,21.0,2023,1010.0,136.0,141.0,22.0,411.0,0.3430656934306569,9.81,91.0,91.2,,55.70142651358927,21.56412930135557,1.1,98.1,50.11315851226908,Poor,-5.588268001320188,1.5705882352941178,0.0,0.0
Bucky Irving,Oregon,2024,125,4,2002-08-19,22.0,2023,1192.0,186.0,,,,,2.22,88.2,91.8,,54.50441856810307,30.0,,22.200000000000003,41.08220928405153,Poor,-13.42220928405154,15.33529411764706,1.0,1.0
Will Shipley,Clemson,2024,127,4,2002-08-29,22.0,2023,840.0,167.0,244.0,31.0,474.0,0.5147679324894515,9.57,72.9,76.2,,54.03072824727209,30.88607594936709,1.05,95.7,52.18049070591452,Poor,-1.850237541357565,1.7294117647058822,0.0,0.0
Ray Davis,Kentucky,2024,128,4,1999-11-20,24.0,2023,1131.0,197.0,,,,,6.65,87.5,91.4,,53.79494679154125,30.0,,66.5,47.37247339577063,Poor,-6.422473395770624,7.394117647058824,0.0,0.0
Isaac Guerendo,Louisville,2024,129,4,2000-06-28,24.0,2023,810.0,132.0,234.0,22.0,408.0,0.5735294117647058,9.9,89.1,90.3,,53.55986428245593,31.1344537815126,0.95,99.0,52.52699096475738,Poor,-1.0328733176985525,5.658823529411765,0.0,0.0
Braelon Allen,Wisconsin,2024,134,4,2004-01-20,20.0,2023,982.0,181.0,131.0,28.0,469.0,0.279317697228145,6.65,74.9,78.6,,52.39467932215801,18.35516296070667,1.15,66.5,42.59664669732634,Poor,-9.79803262483167,5.011764705882353,0.0,0.0
Audric Estime,Notre Dame,2024,147,5,,21.0,2023,1341.0,209.0,142.0,17.0,351.0,0.4045584045584046,6.57,94.2,94.0,,49.43999843619903,25.429385429385427,1.1,65.7,43.47528411838441,Poor,-5.964714317814618,2.864705882352941,0.0,0.0
Rasheen Ali,Marshall,2024,165,5,2001-02-16,23.0,2023,1127.0,210.0,213.0,28.0,425.0,0.5011764705882353,6.65,75.2,81.6,,45.50798876586117,28.638655462184868,1.0,66.5,42.75252379469529,Poor,-2.7554649711658783,0.1823529411764706,0.0,0.0
Tyrone Tracy Jr.,Purdue,2024,166,5,1999-11-23,24.0,2023,714.0,114.0,132.0,19.0,392.0,0.336734693877551,9.78,87.5,90.5,,45.29445820618241,18.2798833819242,0.95,97.8,43.71518828676467,Poor,-1.5792699194177402,0.0,0.0,0.0
Keilan Robinson,Texas,2024,167,5,2000-02-16,24.0,2023,134.0,12.0,56.0,8.0,475.0,0.1178947368421052,7.32,85.7,89.1,,45.08141589586066,6.4,0.95,73.2,35.76070794793033,Poor,-9.32070794793033,0.0,0.0,0.0
Isaiah Davis,South Dakota St.,2024,173,5,2002-02-21,22.0,2023,,,190.0,22.0,,,8.86,,,,43.81319351407827,30.0,,88.6,45.69659675703914,Poor,1.883403242960867,2.7,0.0,0.0
Kimani Vidal,Troy,2024,181,6,2001-08-28,23.0,2023,1661.0,295.0,201.0,18.0,456.0,0.4407894736842105,8.88,92.4,93.2,,42.14793192133863,25.187969924812027,1.0,88.80000000000001,43.209755434353525,Poor,1.0618235130149003,1.9235294117647064,0.0,0.0
Jase McClellan,Alabama,2024,186,6,2002-06-25,22.0,2023,888.0,181.0,137.0,15.0,325.0,0.4215384615384615,6.65,79.8,84.5,,41.12133897642805,25.292307692307684,1.05,66.5,39.38797718052172,Poor,-1.7333617959063332,0.188235294117647,0.0,0.0
Jawhar Jordan,Louisville,2024,205,6,1999-08-18,25.0,2023,1123.0,181.0,246.0,21.0,408.0,0.6029411764705882,4.6,87.9,90.7,,37.312343403797485,31.00840336134453,0.9,46.0,36.40911287836933,Poor,-0.9032305254281568,0.0,0.0,0.0
Dylan Laube,New Hampshire,2024,208,6,1999-12-14,24.0,2023,,,699.0,68.0,,,8.78,,,,36.72342304569737,30.0,,87.8,42.03171152284869,Poor,5.308288477151315,-0.1176470588235294,0.0,0.0
Bijan Robinson,Texas,2023,8,1,2002-01-30,21.0,2022,1575.0,257.0,314.0,19.0,405.0,0.7753086419753087,9.85,95.3,96.1,,93.68781610895526,48.7336860670194,1.1,98.5,78.67569817793441,Average,-15.012117931020851,20.1,1.0,1.0
Jahmyr Gibbs,Alabama,2023,12,1,2002-03-20,21.0,2022,926.0,151.0,444.0,44.0,438.0,1.0136986301369864,8.06,82.5,83.3,,91.19779246495472,63.71819960861057,1.1,80.60000000000001,79.99026609549105,Average,-11.207526369463665,22.96470588235294,1.0,1.0
Zach Charbonnet,UCLA,2023,52,2,2001-01-08,22.0,2022,1358.0,194.0,321.0,37.0,419.0,0.766109785202864,8.71,91.5,93.6,,74.59433316596373,45.96658711217184,1.05,87.10000000000001,66.45047207224201,Below Average,-8.143861093721725,10.805882352941175,0.0,0.0
Kendre Miller,TCU,2023,71,3,2002-06-11,21.0,2022,1399.0,224.0,116.0,16.0,454.0,0.2555066079295154,6.65,85.3,88.5,,68.67193564014815,16.060415355569535,1.1,66.5,49.93211319452341,Poor,-18.73982244562474,2.547058823529412,0.0,0.0
Tyjae Spears,Tulane,2023,81,3,2001-06-15,22.0,2022,1586.0,231.0,256.0,22.0,379.0,0.6754617414248021,7.51,90.2,90.6,,65.80076958583709,40.52770448548812,1.05,75.1,58.35008136283938,Poor,-7.450688222997705,9.047058823529412,0.0,0.0
De'Von Achane,Texas A&M,2023,84,3,2001-10-13,21.0,2022,1100.0,196.0,196.0,36.0,391.0,0.5012787723785166,6.65,82.4,89.8,,64.96615833500175,31.50895140664961,1.1,66.5,53.48621215982824,Poor,-11.47994617517351,11.570588235294116,1.0,0.0
Tank Bigsby,Auburn,2023,88,3,2002-08-30,22.0,2022,976.0,178.0,180.0,30.0,308.0,0.5844155844155844,8.32,82.9,90.7,,63.870755038336846,35.06493506493506,1.05,83.2,56.6881047918957,Poor,-7.182650246441149,7.588235294117647,0.0,0.0
Roschon Johnson,Texas,2023,115,4,2001-01-31,22.0,2022,545.0,94.0,128.0,14.0,405.0,0.3160493827160494,8.67,82.0,88.3,,56.91754455689596,18.96296296296296,1.05,86.7,48.100809315485016,Poor,-8.816735241410939,6.005882352941176,0.0,0.0
Israel Abanikanda,Pittsburgh,2023,143,5,2002-10-05,20.0,2022,1426.0,241.0,146.0,12.0,393.0,0.371501272264631,9.63,88.5,90.6,,50.33815139213819,24.41294074881861,1.15,96.3,48.15860495815561,Poor,-2.17954643398258,1.076470588235294,0.0,0.0
Chase Brown,Illinois,2023,163,5,2000-03-21,23.0,2022,1632.0,329.0,240.0,27.0,393.0,0.6106870229007634,9.81,81.2,81.6,,45.93653104587332,34.89640130861504,1.0,98.1,49.89700598095192,Poor,3.960474935078601,15.0,1.0,1.0
Eric Gray,Oklahoma,2023,172,5,1999-11-04,23.0,2022,1374.0,212.0,229.0,33.0,407.0,0.5626535626535627,6.56,90.6,92.4,,44.02338900352743,32.15163215163215,1.0,65.6,43.104765754834965,Poor,-0.9186232486924624,1.1352941176470588,0.0,0.0
Evan Hull,Northwestern,2023,176,5,2000-10-26,22.0,2022,914.0,220.0,546.0,55.0,417.0,1.3093525179856116,9.33,73.3,73.5,,43.185359664653696,78.56115107913669,1.05,93.3,63.08408271002468,Below Average,19.898723045370986,0.1,0.0,0.0
Chris Rodriguez,Kentucky,2023,193,6,,22.0,2022,904.0,175.0,41.0,5.0,349.0,0.1174785100286533,6.65,90.8,90.7,,39.70155451210871,7.048710601719196,1.05,66.5,32.292825966656075,Poor,-7.408728545452632,1.8529411764705883,0.0,0.0
Deuce Vaughn,Kansas St.,2023,212,6,2001-11-02,21.0,2022,1561.0,291.0,378.0,42.0,388.0,0.9742268041237112,4.32,82.1,84.5,,35.94319234776309,61.23711340206184,1.1,43.2,45.88458586460318,Poor,9.941393516840094,0.8823529411764706,0.0,0.0
Zach Evans,Mississippi,2023,215,6,2001-05-30,22.0,2022,930.0,144.0,119.0,12.0,386.0,0.3082901554404145,8.75,77.4,80.8,,35.36168545697983,18.49740932642487,1.05,87.5,37.279935992738615,Poor,1.9182505357587871,0.1117647058823529,0.0,0.0
DeWayne McBride,Ala-Birmingham,2023,222,7,2001-07-08,22.0,2022,1702.0,233.0,10.0,2.0,321.0,0.0311526479750778,6.65,94.1,93.5,,34.016695121333115,1.8691588785046729,1.05,66.5,27.637553168143192,Poor,-6.379141953189922,0.0,0.0,0.0
Lew Nichols,Central Michigan,2023,235,7,,22.0,2022,616.0,175.0,128.0,21.0,389.0,0.3290488431876606,6.65,62.6,69.5,,31.560854097950696,19.74293059125964,1.05,66.5,32.66545275591622,Poor,1.104598657965525,0.0,0.0,0.0
Kenny McIntosh,Georgia,2023,237,7,2000-03-03,23.0,2022,824.0,151.0,504.0,43.0,492.0,1.024390243902439,4.08,85.2,84.2,,31.187666633411297,58.53658536585365,1.0,40.8,42.201638194754416,Poor,11.01397156134312,1.3176470588235294,0.0,0.0
Breece Hall,Iowa St.,2022,36,2,2001-05-31,21.0,2021,1460.0,252.0,302.0,36.0,446.0,0.6771300448430493,9.96,86.6,87.0,,80.26299861749231,42.56245996156309,1.1,99.6,69.96836029529324,Below Average,-10.294638322199075,17.08823529411765,1.0,1.0
Kenneth Walker III,Michigan St.,2022,41,2,2000-10-20,21.0,2021,1634.0,262.0,89.0,13.0,400.0,0.2225,9.24,89.3,90.7,,78.40408953083528,13.985714285714284,1.1,92.4,57.95704476541764,Poor,-20.447044765417644,11.729411764705883,1.0,0.0
