player_name,position,draft_year,pick,round,college,seasons_played,best_rank,best_ppr,hit24,hit12,RAS,breakout_age,peak_dominator,birthdate,declare_status,early_declare,draft_age,declare_source,rush_attempts,rush_yards,rush_touchdowns,rush_games,rush_source,rush_tds
Demarcus Robinson,WR,2016,126,4,Florida,8.0,62.0,123.5,0.0,0.0,5.86,21.0,14.003104518799589,1994-09-21,EARLY,1,21.0,existing,1.0,1.0,,13.0,cfbd,0.0
Tajae Sharpe,WR,2016,140,5,Massachusetts,8.0,72.0,105.3,0.0,0.0,5.3,20.0,35.2319309600863,1994-12-23,STANDARD,0,21.0,cfbd_roster_confirmed,1.0,-3.0,,12.0,cfbd,0.0
Jordan Payton,WR,2016,154,5,UCLA,8.0,195.0,1.3,0.0,0.0,6.84,22.0,28.377117427505027,1993-09-01,STANDARD,0,22.0,existing,0.0,0.0,,13.0,cfbd_confirmed_zero,0.0
Trevor Davis,WR,2016,163,5,California,8.0,136.0,30.4,0.0,0.0,9.14,22.0,10.640335587181797,1993-07-04,STANDARD,0,22.0,existing,3.0,4.0,,13.0,cfbd,0.0
Tyreek Hill,WR,2016,165,5,West Alabama,8.0,1.0,376.4,1.0,1.0,9.39,21.0,19.39688715953307,1994-03-01,STANDARD,0,22.0,existing,25.0,237.0,1.0,13.0,web_research,
Rashard Higgins,WR,2016,172,5,Colorado St.,8.0,60.0,120.9,0.0,0.0,1.65,21.0,34.575604272062954,1994-10-07,EARLY,1,21.0,existing,1.0,20.0,,12.0,cfbd,0.0
Moritz Boehringer,WR,2016,180,6,,8.0,999.0,0.0,0.0,0.0,9.98,,14.2,1993-08-20,STANDARD,0,22.0,existing,0.0,0.0,0.0,13.0,no_college_data,0.0
Jakeem Grant,WR,2016,186,6,Texas Tech,8.0,89.0,87.3,0.0,0.0,6.39,22.0,25.38492027195951,1992-10-30,LATE,0,23.0,existing,8.0,68.0,,13.0,cfbd,2.0
Kolby Listenbee,WR,2016,192,6,TCU,8.0,999.0,0.0,0.0,0.0,7.91,21.0,13.01862479635338,1994-01-25,STANDARD,0,22.0,existing,1.0,11.0,,11.0,cfbd,0.0
Cody Core,WR,2016,199,6,Mississippi,8.0,124.0,37.0,0.0,0.0,7.38,21.0,13.114883278064156,1994-04-17,STANDARD,0,22.0,existing,1.0,1.0,,13.0,cfbd,0.0
Mike Thomas,WR,2016,206,6,Southern Miss,8.0,139.0,30.3,0.0,0.0,7.66,21.0,32.567157712305026,1994-08-16,STANDARD,0,21.0,existing,0.0,0.0,,13.0,pff,0.0
Aaron Burbridge,WR,2016,213,6,Michigan St.,8.0,152.0,15.8,0.0,0.0,2.78,21.0,32.64421610716213,1993-12-23,STANDARD,0,22.0,existing,9.0,44.0,,14.0,cfbd,0.0
Devin Lucien,WR,2016,225,7,Arizona St.,8.0,999.0,0.0,0.0,0.0,6.68,22.0,27.14861504159163,1993-06-26,STANDARD,0,22.0,existing,0.0,0.0,,13.0,cfbd_confirmed_zero,0.0
Demarcus Ayers,WR,2016,229,7,Houston,8.0,151.0,16.1,0.0,0.0,0.89,21.0,31.208983711140743,1994-07-07,EARLY,1,21.0,existing,25.0,147.0,,14.0,cfbd,1.0
Daniel Braverman,WR,2016,230,7,Western Michigan,8.0,197.0,0.0,0.0,0.0,2.56,22.0,39.946955513952034,1993-09-28,STANDARD,0,22.0,existing,2.0,13.0,,13.0,cfbd,0.0
Devin Fuller,WR,2016,238,7,UCLA,8.0,999.0,0.0,0.0,0.0,8.34,21.0,17.597,1994-01-29,STANDARD,0,22.0,existing,0.0,0.0,,10.0,cfbd_confirmed_zero,0.0
Charone Peake,WR,2016,241,7,Clemson,8.0,122.0,37.6,0.0,0.0,5.76,22.0,15.329456731240404,1992-10-16,LATE,0,23.0,existing,0.0,0.0,,15.0,cfbd_confirmed_zero,0.0
Kenny Lawler,WR,2016,243,7,California,8.0,999.0,0.0,0.0,0.0,2.09,21.0,25.33983310028668,1994-06-25,EARLY,1,21.0,existing,1.0,5.0,,13.0,cfbd,0.0
Corey Davis,WR,2017,5,1,Western Michigan,7.0,28.0,191.4,0.0,0.0,3.774076683073437,21.0,50.01629656314061,1995-01-11,STANDARD,0,22.0,existing,1.0,0.0,,14.0,cfbd,0.0
Mike Williams,WR,2017,7,1,Clemson,7.0,13.0,246.6,1.0,0.0,7.24,22.0,25.807768239391315,1994-10-04,STANDARD,0,22.0,existing,0.0,0.0,,15.0,cfbd_confirmed_zero,0.0
John Ross,WR,2017,9,1,Washington,7.0,75.0,95.0,0.0,0.0,9.5,20.0,33.95593166589344,1995-11-27,EARLY,1,21.0,existing,8.0,102.0,,14.0,cfbd,1.0
Zay Jones,WR,2017,37,2,East Carolina,7.0,26.0,198.1,0.0,0.0,9.71,21.0,37.032939546696426,1995-03-30,STANDARD,0,22.0,existing,4.0,24.0,,12.0,cfbd,0.0
Curtis Samuel,WR,2017,40,2,Ohio St.,7.0,24.0,212.1,1.0,0.0,7.45,20.0,29.013498188255472,1996-08-11,EARLY,1,20.0,existing,97.0,771.0,,13.0,cfbd,8.0
JuJu Smith-Schuster,WR,2017,62,2,USC,7.0,8.0,296.9,1.0,1.0,7.33,19.0,27.87069132741273,1996-11-22,EARLY,1,20.0,existing,5.0,27.0,,13.0,cfbd,0.0
Cooper Kupp,WR,2017,69,3,Eastern Washington,7.0,1.0,439.5,1.0,1.0,5.0,23.0,40.43172199028697,1993-06-15,LATE,0,23.0,existing,2.0,29.0,0.0,13.0,cfbd,
Taywan Taylor,WR,2017,72,3,Western Kentucky,7.0,80.0,87.6,0.0,0.0,8.7,21.0,38.576021886388645,1995-03-02,STANDARD,0,22.0,existing,6.0,36.0,,14.0,cfbd,0.0
ArDarius Stewart,WR,2017,79,3,Alabama,7.0,146.0,16.900000000000002,0.0,0.0,5.89,22.0,29.081508219111264,1993-12-08,LATE,0,23.0,existing,8.0,68.0,,12.0,cfbd,0.0
Carlos Henderson,WR,2017,82,3,Louisiana Tech,7.0,999.0,0.0,0.0,0.0,5.75,20.0,37.18050114061836,1995-10-28,EARLY,1,21.0,existing,14.0,133.0,,13.0,cfbd,2.0
Chris Godwin,WR,2017,84,3,Penn St.,7.0,2.0,276.1,1.0,1.0,9.66,20.0,32.41757203589985,1996-02-27,EARLY,1,21.0,existing,1.0,13.0,,14.0,cfbd,0.0
Kenny Golladay,WR,2017,96,3,Northern Illinois,7.0,9.0,248.0,1.0,1.0,8.94,22.0,41.58753709198813,1993-11-03,LATE,0,23.0,existing,20.0,192.0,,12.0,cfbd,2.0
Chad Williams,WR,2017,98,3,Grambling St.,7.0,125.0,41.0,0.0,0.0,9.01,21.0,37.137,1994-10-19,STANDARD,0,22.0,existing,0.0,0.0,0.0,13.0,cfbd_confirmed_zero,
Amara Darboh,WR,2017,106,3,Michigan,7.0,152.0,15.1,0.0,0.0,9.6,22.0,33.138606676342526,1994-02-01,LATE,0,23.0,existing,0.0,0.0,,13.0,cfbd_confirmed_zero,0.0
Dede Westbrook,WR,2017,110,4,Oklahoma,7.0,32.0,181.5,0.0,0.0,4.84,22.0,38.15991108566424,1993-11-21,LATE,0,23.0,existing,10.0,101.0,,13.0,cfbd,0.0
Josh Reynolds,WR,2017,117,4,Texas A&M,7.0,55.0,128.8,0.0,0.0,9.1,21.0,39.66174253843835,1995-02-16,STANDARD,0,22.0,existing,0.0,0.0,,13.0,cfbd_confirmed_zero,0.0
Mack Hollins,WR,2017,118,4,North Carolina,7.0,46.0,154.2,0.0,0.0,3.951656238011448,23.0,10.72072072072072,1993-09-16,LATE,0,23.0,existing,0.0,0.0,,7.0,cfbd_confirmed_zero,0.0
Josh Malone,WR,2017,128,4,Tennessee,7.0,139.0,18.5,0.0,0.0,7.03,20.0,35.32027649769585,1996-03-21,EARLY,1,21.0,existing,0.0,0.0,,13.0,cfbd_confirmed_zero,0.0
Ryan Switzer,WR,2017,133,4,North Carolina,7.0,96.0,69.4,0.0,0.0,4.83,21.0,24.58934662818158,1994-11-04,STANDARD,0,22.0,existing,3.0,14.0,,13.0,cfbd,0.0
Jehu Chesson,WR,2017,139,4,Michigan,7.0,182.0,3.8,0.0,0.0,7.94,22.0,14.0711175616836,1993-12-20,LATE,0,23.0,existing,12.0,63.0,,13.0,cfbd,1.0
Chad Hansen,WR,2017,141,4,California,7.0,121.0,46.6,0.0,0.0,7.39,21.0,32.10759303721489,1995-01-18,STANDARD,0,22.0,existing,0.0,0.0,,10.0,cfbd_confirmed_zero,0.0
Shelton Gibson,WR,2017,166,5,West Virginia,7.0,178.0,5.800000000000001,0.0,0.0,3.98,21.0,29.60836650636232,1995-03-20,STANDARD,0,22.0,existing,2.0,29.0,,13.0,cfbd,0.0
Rodney Adams,WR,2017,170,5,South Florida,7.0,227.0,0.0,0.0,0.0,6.02,22.0,22.868530782438068,1994-09-15,STANDARD,0,22.0,existing,23.0,231.0,,13.0,cfbd,5.0
Isaiah McKenzie,WR,2017,172,5,Georgia,7.0,55.0,119.8,0.0,0.0,6.36,21.0,34.459493041749504,1995-04-09,STANDARD,0,22.0,existing,19.0,134.0,,13.0,cfbd,2.0
DeAngelo Yancey,WR,2017,175,5,Purdue,7.0,999.0,0.0,0.0,0.0,9.08,21.0,33.43599886973722,1994-11-18,STANDARD,0,22.0,existing,7.0,26.0,,12.0,cfbd,0.0
Trent Taylor,WR,2017,177,5,Louisiana Tech,7.0,67.0,98.0,0.0,0.0,4.0,22.0,31.675131776850247,1994-04-30,LATE,0,23.0,existing,0.0,0.0,,14.0,cfbd_confirmed_zero,0.0
Robert Davis,WR,2017,209,6,Georgia St.,7.0,198.0,3.7,0.0,0.0,9.79,21.0,31.084900965462325,1995-04-02,STANDARD,0,22.0,existing,0.0,0.0,,12.0,pff,0.0
Stacy Coley,WR,2017,219,7,Miami (FL),7.0,200.0,0.0,0.0,0.0,4.46,22.0,27.24466891133558,1994-05-13,STANDARD,0,22.0,existing,0.0,0.0,,13.0,cfbd_confirmed_zero,0.0
David Moore,WR,2017,226,7,East Central (OK),7.0,64.0,118.8,0.0,0.0,8.99,21.0,25.707,1995-01-15,STANDARD,0,22.0,existing,,74.0,1.0,13.0,web_research_partial,
Isaiah Ford,WR,2017,237,7,Virginia Tech,7.0,110.0,55.6,0.0,0.0,5.05,20.0,26.21121728877392,1996-02-09,EARLY,1,21.0,existing,6.0,33.0,,14.0,cfbd,0.0
Noah Brown,WR,2017,239,7,Ohio St.,7.0,62.0,114.5,0.0,0.0,6.88,20.0,20.6891544270185,1996-01-06,EARLY,1,21.0,existing,0.0,0.0,,13.0,cfbd_confirmed_zero,0.0
Malachi Dupre,WR,2017,247,7,LSU,7.0,999.0,0.0,0.0,0.0,7.2,21.0,25.49868478737396,1995-10-12,EARLY,1,21.0,existing,0.0,0.0,,12.0,cfbd_confirmed_zero,0.0
D.J. Moore,WR,2018,24,1,Maryland,6.0,6.0,286.5,1.0,1.0,9.65,20.0,53.29037800687285,1997-04-14,EARLY,1,21.0,existing,5.0,61.0,,12.0,cfbd,1.0
Calvin Ridley,WR,2018,26,1,Alabama,6.0,5.0,281.5,1.0,1.0,5.12,22.0,26.783076598438488,1994-12-20,LATE,0,23.0,existing,2.0,17.0,,14.0,cfbd,0.0
Courtland Sutton,WR,2018,40,2,SMU,6.0,14.0,240.3,1.0,0.0,9.81,22.0,31.33328350958484,1995-10-10,STANDARD,0,22.0,existing,1.0,2.0,,13.0,cfbd,1.0
Dante Pettis,WR,2018,44,2,Washington,6.0,70.0,103.5,0.0,0.0,8.172682926829268,21.0,31.628272346955555,1995-10-23,STANDARD,0,22.0,existing,3.0,50.0,,13.0,cfbd,0.0
Christian Kirk,WR,2018,47,2,Texas A&M,6.0,11.0,243.9,1.0,1.0,6.23,20.0,36.79647052274119,1996-11-18,EARLY,1,21.0,existing,4.0,31.0,,13.0,cfbd,0.0
Anthony Miller,WR,2018,51,2,Memphis,6.0,56.0,127.5,0.0,0.0,9.27,23.0,39.86222732491389,1994-10-09,LATE,0,23.0,existing,10.0,25.0,,13.0,cfbd,0.0
James Washington,WR,2018,60,2,Oklahoma St.,6.0,54.0,133.5,0.0,0.0,5.55,21.0,32.87691724141616,1996-04-02,STANDARD,0,22.0,existing,3.0,12.0,,13.0,cfbd,1.0
DJ Chark,WR,2018,61,2,LSU,6.0,17.0,225.8,1.0,0.0,9.94,21.0,25.345268542199488,1996-09-23,STANDARD,0,21.0,cfbd_roster_confirmed,12.0,63.0,,13.0,cfbd,1.0
Michael Gallup,WR,2018,81,3,Colorado St.,6.0,24.0,212.7,1.0,0.0,5.87,21.0,30.665964727559885,1996-03-04,STANDARD,0,22.0,existing,0.0,0.0,,13.0,cfbd_confirmed_zero,0.0
Tre'Quan Smith,WR,2018,91,3,Central Florida,6.0,72.0,103.1,0.0,0.0,6.85,21.0,30.68050081150012,1996-01-07,STANDARD,0,22.0,existing,5.0,23.0,,13.0,cfbd,1.0
Keke Coutee,WR,2018,103,4,Texas Tech,6.0,87.0,89.0,0.0,0.0,5.64,20.0,30.75643812158335,1997-01-14,EARLY,1,21.0,existing,5.0,15.0,,13.0,cfbd,0.0
Antonio Callaway,WR,2018,105,4,Florida,6.0,55.0,132.3,0.0,0.0,6.2,20.0,21.18538324420677,1997-01-09,EARLY,1,21.0,existing,0.0,0.0,,12.0,cfbd_confirmed_zero,0.0
DaeSean Hamilton,WR,2018,113,4,Penn St.,6.0,95.0,66.3,0.0,0.0,8.09,22.0,25.422521208907742,1995-03-10,LATE,0,23.0,existing,1.0,2.0,,13.0,cfbd,0.0
Jaleel Scott,WR,2018,132,4,New Mexico St.,6.0,204.0,2.6,0.0,0.0,7.6,22.0,27.616366743741832,1995-02-23,LATE,0,23.0,existing,0.0,0.0,,13.0,pff,0.0
J'Mon Moore,WR,2018,133,4,Missouri,6.0,187.0,3.5,0.0,0.0,8.43,22.0,24.848182724553613,1995-05-23,STANDARD,0,22.0,existing,0.0,0.0,,13.0,cfbd_confirmed_zero,0.0
Justin Watson,WR,2018,144,5,Pennsylvania,6.0,77.0,89.0,0.0,0.0,9.61,21.0,11.674,1996-04-04,STANDARD,0,22.0,existing,11.0,52.0,0.0,13.0,web_research,
Daurice Fountain,WR,2018,159,5,Northern Iowa,6.0,196.0,4.3,0.0,0.0,7.98,21.0,20.0,1995-12-22,STANDARD,0,22.0,existing,0.0,0.0,0.0,13.0,cfbd_confirmed_zero,
Jordan Lasley,WR,2018,162,5,UCLA,6.0,999.0,0.0,0.0,0.0,4.47,20.0,28.753569897317767,1996-11-13,EARLY,1,21.0,existing,4.0,-6.0,,9.0,cfbd,0.0
Marquez Valdes-Scantling,WR,2018,174,5,South Florida,6.0,54.0,137.3,0.0,0.0,9.26,23.0,26.713759625041845,1994-10-10,LATE,0,23.0,existing,8.0,108.0,,12.0,cfbd,1.0
Damion Ratley,WR,2018,175,6,Texas A&M,6.0,126.0,38.0,0.0,0.0,9.02,22.0,24.260980905194007,1995-04-16,LATE,0,23.0,existing,0.0,0.0,,13.0,cfbd_confirmed_zero,0.0
Deon Cain,WR,2018,185,6,Clemson,6.0,145.0,21.4,0.0,0.0,6.47,21.0,28.778390337026533,1996-08-09,EARLY,1,21.0,existing,0.0,0.0,,14.0,cfbd_confirmed_zero,0.0
Ray-Ray McCloud,WR,2018,187,6,Clemson,6.0,50.0,142.5,0.0,0.0,3.71,20.0,10.569323270709557,1996-10-15,EARLY,1,21.0,existing,6.0,30.0,,14.0,cfbd,0.0
Dylan Cantrell,WR,2018,191,6,Texas Tech,6.0,999.0,0.0,0.0,0.0,9.86,23.0,19.40525587828493,1994-06-29,LATE,0,23.0,existing,1.0,3.0,,13.0,cfbd,1.0
Russell Gage,WR,2018,194,6,LSU,6.0,37.0,181.1,0.0,0.0,8.0,21.0,14.21105304125431,1996-01-22,STANDARD,0,22.0,existing,28.0,232.0,,13.0,cfbd,1.0
Tremon Smith,WR,2018,196,6,Central Arkansas,6.0,999.0,0.0,0.0,0.0,7.305,19.0,30.0,,STANDARD,0,22.0,cfbd_roster,0.0,0.0,0.0,13.0,cfbd_confirmed_zero,
Equanimeous St. Brown,WR,2018,207,6,Notre Dame,6.0,102.0,62.7,0.0,0.0,9.85,21.0,21.06574989256553,1996-09-30,EARLY,1,21.0,existing,0.0,0.0,,13.0,cfbd_confirmed_zero,0.0
Cedrick Wilson Jr.,WR,2018,208,6,Boise St.,6.0,45.0,147.8,0.0,0.0,2.879192901894676,21.0,34.008179745193615,1995-11-20,STANDARD,0,22.0,existing,9.0,13.0,,14.0,cfbd,0.0
Braxton Berrios,WR,2018,210,6,Miami (FL),6.0,59.0,121.1,0.0,0.0,5.68,22.0,27.962908592679582,1995-10-06,STANDARD,0,22.0,existing,1.0,9.0,,13.0,cfbd,0.0
Javon Wims,WR,2018,224,7,Georgia,6.0,119.0,42.6,0.0,0.0,5.44,23.0,28.228263600954897,1994-09-11,LATE,0,23.0,existing,0.0,0.0,,15.0,cfbd_confirmed_zero,0.0
Marcell Ateman,WR,2018,228,7,Oklahoma St.,6.0,134.0,36.4,0.0,0.0,5.18,23.0,22.235993653269794,1994-09-16,LATE,0,23.0,existing,0.0,0.0,,13.0,cfbd_confirmed_zero,0.0
Richie James,WR,2018,240,7,Middle Tenn. St.,6.0,50.0,138.5,0.0,0.0,5.99,22.0,10.964141091219096,1995-09-05,STANDARD,0,22.0,existing,10.0,57.0,,5.0,cfbd,0.0
