rank,player_name,draft_year,pick,college,slap_score,dc_score,breakout_score,ras_score,delta_vs_dc,breakout_status,ras_status,breakout_age_raw,ras_raw,best_ppr,hit24,hit12
63,Ke'Shawn Vaughn,2020,76,Illinois,14.630092986187062,5.641285866102424,75.0,46.7,8.988807120084637,observed,observed,20.0,5.17,50.8,0,0
64,Braelon Allen,2024,134,Wisconsin,14.554088931859221,2.6226942132758926,90.0,66.49597701149425,11.931394718583329,observed,imputed,19.0,,85.2,0,0
65,Jeremy Langford,2015,106,Michigan St.,14.5197526602972,3.767601168977098,78.07291666666667,70.19999999999999,10.752151491320102,imputed,observed,,7.52,147.6,0,0
66,Devin Singletary,2019,74,Florida Atlantic,14.50959185906057,5.805402187130084,90.0,11.5,8.704189671930486,observed,observed,19.0,1.65,237.3,1,1
67,Kendre Miller,2023,71,TCU,14.479589433660404,6.064459509512579,60.0,66.49597701149425,8.415129924147825,observed,imputed,21.0,,43.3,0,0
68,Aaron Jones,2017,182,Texas-El Paso,14.47339641559472,1.3157604889349657,90.0,87.10000000000001,13.157635926659754,observed,observed,19.0,9.21,359.70000000000005,1,1
69,Kalen Ballage,2018,131,Arizona St.,14.4356897210941,2.727527122855803,78.07291666666667,86.19999999999999,11.708162598238296,imputed,observed,,9.12,93.9,0,0
70,Eric Gray,2023,172,Oklahoma,14.340856699137,1.542184351925882,100.0,60.599999999999994,12.798672347211117,observed,observed,18.0,6.56,19.3,0,0
71,Alexander Mattison,2019,102,Boise St.,14.335634031960021,3.9686380768157115,78.07291666666667,63.099999999999994,10.36699595514431,imputed,observed,,6.81,137.4,0,0
72,Zack Moss,2020,86,Utah,14.322229376674604,4.908505149028946,90.0,23.0,9.413724227645659,observed,observed,19.0,2.8,169.6,0,0
73,Joshua Kelley,2020,112,UCLA,14.315805688488275,3.4864870844960096,78.07291666666667,70.9,10.829318603992267,imputed,observed,,7.59,81.2,0,0
74,Paul Perkins,2016,149,UCLA,14.2698962541812,2.1469367696249413,100.0,48.9,12.122959484556258,observed,observed,18.0,5.39,85.5,0,0
75,Mike Davis,2015,126,South Carolina,14.268923842254223,2.9104986379461453,90.0,55.9,11.358425204308077,observed,observed,19.0,6.09,206.5,1,0
76,Blake Corum,2024,83,Michigan,14.24221649369942,5.1143723455287295,60.0,77.89999999999999,9.127844148170691,observed,observed,21.0,8.29,33.5,0,0
77,MarShawn Lloyd,2024,88,USC,14.120576139464472,4.7771483993699695,60.0,81.19999999999999,9.343427740094501,observed,observed,21.0,8.62,2.8,0,0
78,Tyler Ervin,2016,119,San Jose St.,14.11520691694023,3.18578264738066,78.07291666666667,72.0,10.929424269559568,imputed,observed,,7.7,26.1,0,0
79,Bryce Love,2019,112,Stanford,14.095604539062988,3.4864870844960096,78.07291666666667,66.49597701149425,10.609117454566977,imputed,imputed,,,0.0,0,0
80,Joe Williams,2017,121,Utah,14.08628437032294,3.104697298419142,78.07291666666667,72.80000000000001,10.981587071903798,imputed,observed,,7.78,0.0,0,0
81,Javorius Allen,2015,125,USC,14.073435325127718,2.948404304071824,78.07291666666667,75.19999999999999,11.125031021055895,imputed,observed,,8.02,166.1,0,0
82,Tyjae Spears,2023,81,Tulane,13.974237310241687,5.2579262473431605,60.0,70.1,8.716311062898527,observed,observed,21.0,7.51,153.8,0,0
83,Matt Jones,2015,95,Florida,13.870250800305936,4.350540157222668,78.07291666666667,47.300000000000004,9.519710643083268,imputed,observed,,5.23,116.4,0,0
84,Benny Snell Jr.,2019,122,Kentucky,13.737259255689848,3.0649043981746686,78.07291666666667,66.49597701149425,10.67235485751518,imputed,imputed,,,0.0,0,0
85,Chase Edmonds,2018,134,Fordham,13.731581747951177,2.6226942132758926,78.07291666666667,73.89999999999999,11.108887534675285,imputed,observed,,7.89,168.0,0,0
86,Anthony McFarland Jr.,2020,124,Maryland,13.670842966142352,2.986767586942321,78.07291666666667,66.49597701149425,10.684075379200031,imputed,imputed,,,0.0,0,0
87,Pierre Strong,2022,127,South Dakota St.,13.57417584537593,2.873041562511235,78.07291666666667,66.49597701149425,10.701134282864695,imputed,imputed,,,42.8,0,0
88,Ty Johnson,2019,186,Maryland,13.473085901332357,1.2303461584302213,78.07291666666667,92.4,12.242739742902137,imputed,observed,,9.74,117.0,0,0
89,Ryquell Armstead,2019,140,Temple,13.47203677211401,2.4232295358204,78.07291666666667,72.1,11.048807236293609,imputed,observed,,7.71,51.2,0,0
90,Evan Hull,2023,176,Northwestern,13.454197604630956,1.4493011034873966,78.07291666666667,88.3,12.004896501143559,imputed,observed,,9.33,1.7000000000000002,0,0
91,Hassan Haskins,2022,131,Michigan,13.450488571668814,2.727527122855803,78.07291666666667,66.49597701149425,10.72296144881301,imputed,imputed,,,33.3,0,0
92,Jay Ajayi,2015,149,Boise St.,13.389896254181199,2.1469367696249413,75.0,81.30000000000001,11.242959484556257,observed,observed,20.0,8.63,222.8,1,1
93,Kenneth Gainwell,2021,150,Memphis,13.380114868536996,2.117782198278818,90.0,51.6,11.262332670258179,observed,observed,19.0,5.66,139.9,0,0
94,Antonio Gibson,2020,66,Memphis,13.379423929929924,6.534853034535545,45.0,66.49597701149425,6.844570895394379,observed,imputed,22.0,,229.1,1,0
95,Nyheim Hines,2018,104,North Carolina St.,13.376669314397587,3.8666697816442204,75.0,51.8,9.509999532753366,observed,observed,20.0,5.68,163.3,0,0
96,Isiah Pacheco,2022,251,Rutgers,13.29633072630634,0.14274203094863666,90.0,83.5,13.153588695357705,observed,observed,19.0,8.85,279.2,1,1
97,Isaiah Davis,2024,173,South Dakota St.,13.278154214678745,1.5186618211906786,78.07291666666667,83.6,11.759492393488067,imputed,observed,,8.86,45.900000000000006,0,0
98,Chris Evans,2021,202,Michigan,13.254573917362887,0.9144497067014333,78.07291666666667,93.4,12.340124210661454,imputed,observed,,9.84,52.400000000000006,0,0
99,Chris Rodriguez,2023,193,Kentucky,13.24901335753461,1.0873111846587034,90.0,66.49597701149425,12.161702172875906,observed,imputed,19.0,,31.5,0,0
100,Tony Pollard,2019,128,Memphis,13.245620654154312,2.836024299005071,75.0,66.7,10.40959635514924,observed,observed,20.0,7.17,266.0,1,1
101,Kenneth Dixon,2016,134,Louisiana Tech,13.216581747951176,2.6226942132758926,78.07291666666667,63.6,10.593887534675284,imputed,observed,,6.86,102.4,0,0
102,DeAndre Washington,2016,143,Texas Tech,13.191294412335912,2.3282385243167583,78.07291666666667,68.1,10.863055888019154,imputed,observed,,7.31,121.9,0,0
103,Ito Smith,2018,126,Southern Miss,13.161215508920892,2.9104986379461453,78.07291666666667,57.6,10.250716870974745,imputed,observed,,6.26,97.7,0,0
104,Rachaad White,2022,91,Arizona St.,13.085049433470942,4.5882934511422855,45.0,93.69999999999999,8.496755982328658,observed,observed,22.0,9.87,295.5,1,1
105,DeeJay Dallas,2020,144,Miami (FL),13.084741493428119,2.2972364425726344,78.07291666666667,66.49597701149425,10.787505050855485,imputed,imputed,,,60.1,0,0
106,Darius Jackson,2016,216,Eastern Michigan,13.049536052784479,0.66734633660919,78.07291666666667,93.5,12.382189716175288,imputed,observed,,9.85,1.6,0,0
107,Isaiah Spiller,2022,123,Texas A&M,12.959049770259524,3.0255977689327707,78.07291666666667,51.6,9.933452001326753,imputed,observed,,5.66,19.0,0,0
108,Brian Hill,2017,156,Wyoming,12.913757464828524,1.9487832919551238,78.07291666666667,69.0,10.9649741728734,imputed,observed,,7.4,95.4,0,0
109,Jason Huntley,2020,172,New Mexico St.,12.908148365803669,1.542184351925882,78.07291666666667,75.8,11.365964013877786,imputed,observed,,8.08,5.1000000000000005,0,0
110,Elijah Mitchell,2021,194,Louisiana,12.907385259464252,1.067512069957944,75.0,90.0,11.839873189506308,observed,observed,20.0,9.5,200.6,1,0
111,La'Mical Perine,2020,120,Florida,12.855530259115321,3.144986579351357,78.07291666666667,47.5,9.710543679763964,imputed,observed,,5.25,52.5,0,0
112,Trenton Cannon,2018,204,Virginia St.,12.83824994265413,0.8775979717499552,78.07291666666667,85.7,11.960651970904175,imputed,observed,,9.07,48.7,0,0
113,Wendell Smallwood,2016,153,West Virginia,12.829525714543491,2.032040056325675,78.07291666666667,65.89999999999999,10.797485658217816,imputed,observed,,7.09,128.3,0,0
114,Jordan Wilkins,2018,169,Mississippi,12.79919195037919,1.6140003337794369,78.07291666666667,72.4,11.185191616599754,imputed,observed,,7.74,61.3,0,0
115,Mark Walton,2018,112,Miami (FL),12.795805688488276,3.4864870844960096,78.07291666666667,40.5,9.309318603992267,imputed,observed,,4.55,0.0,0,0
116,Snoop Conner,2022,154,Mississippi,12.77570665285069,2.0040176308047317,78.07291666666667,65.3,10.771689022045958,imputed,observed,,7.03,10.2,0,0
117,Boston Scott,2018,201,Louisiana Tech,12.775410936247713,0.9330814936247598,78.07291666666667,83.5,11.842329442622953,imputed,observed,,8.85,109.1,0,0
118,Jake Funk,2021,233,Maryland,12.77539752681966,0.3977716001799912,78.07291666666667,92.6,12.377625926639668,imputed,observed,,9.76,3.2,0,0
119,Dwayne Washington,2016,236,Washington,12.76755305664564,0.35324869409290793,78.07291666666667,93.2,12.414304362552732,imputed,observed,,9.82,48.7,0,0
120,Wayne Gallman,2017,140,Clemson,12.75703677211401,2.4232295358204,78.07291666666667,57.800000000000004,10.333807236293609,imputed,observed,,6.28,136.6,0,0
121,Keaontay Ingram,2022,201,USC,12.685410936247713,0.9330814936247598,78.07291666666667,81.7,11.752329442622953,imputed,observed,,8.67,18.1,0,0
122,James Conner,2017,105,Pittsburgh,12.659264407169715,3.816781655493783,75.0,38.3,8.842482751675933,observed,observed,20.0,4.33,280.0,1,1
123,Jeremy McNichols,2017,162,Boise St.,12.652963540269868,1.789262380033514,78.07291666666667,66.49597701149425,10.863701160236353,imputed,imputed,,,73.60000000000001,0,0
124,Daniel Lasco,2016,237,California,12.650098197091529,0.33859591814689466,78.07291666666667,91.1,12.311502278944634,imputed,observed,,9.61,6.300000000000001,0,0
125,Dylan Laube,2024,208,New Hampshire,12.631962840619607,0.8054954987681643,78.07291666666667,82.8,11.826467341851442,imputed,observed,,8.78,-2.0,0,0
126,Keilan Robinson,2024,167,Texas,12.630798339779242,1.662949027191264,78.07291666666667,68.2,10.967849312587978,imputed,observed,,7.32,0.0,0,0
127,Rasheen Ali,2024,165,Marshall,12.587957785494417,1.7127850214741607,78.07291666666667,66.49597701149425,10.875172764020256,imputed,imputed,,,3.1,0,0
128,Israel Abanikanda,2023,143,Pittsburgh,12.544002745669246,2.3282385243167583,60.0,91.30000000000001,10.215764221352488,observed,observed,21.0,9.63,18.3,0,0
129,Deuce Vaughn,2023,212,Kansas St.,12.535126899306224,0.7354434109484994,100.0,38.2,11.799683488357724,observed,observed,18.0,4.32,15.0,0,0
130,Dexter Williams,2019,194,Notre Dame,12.529676926130922,1.067512069957944,78.07291666666667,76.30000000000001,11.462164856172977,imputed,observed,,8.13,1.1,0,0
131,Zach Evans,2023,215,Mississippi,12.513855125299772,0.6841923042742403,78.07291666666667,82.5,11.829662821025531,imputed,observed,,8.75,1.9,0,0
132,T.J. Logan,2017,179,North Carolina,12.511729424733975,1.3816914800791853,78.07291666666667,70.6,11.13003794465479,imputed,observed,,7.56,10.9,0,0
133,Zander Horvath,2022,260,Purdue,12.493777764964587,0.025277762703433692,78.07291666666667,93.3,12.468500002261154,imputed,observed,,9.83,18.6,0,0
134,Bo Scarbrough,2018,236,Alabama,12.48255305664564,0.35324869409290793,78.07291666666667,87.5,12.129304362552732,imputed,observed,,9.25,43.2,0,0
135,Travis Homer,2019,204,Miami (FL),12.47324994265413,0.8775979717499552,78.07291666666667,78.4,11.595651970904175,imputed,observed,,8.34,55.8,0,0
136,Keith Marshall,2016,242,Georgia,12.458986317148504,0.2666995888021587,78.07291666666667,88.5,12.192286728346346,imputed,observed,,9.35,0.0,0,0
137,Dameon Pierce,2022,107,Florida,12.456244987094374,3.7191117495227943,60.0,65.89999999999999,8.73713323757158,observed,observed,21.0,7.09,166.4,0,0
138,Karlos Williams,2015,155,Florida St.,12.442118471601898,1.976266829335565,78.07291666666667,59.1,10.465851642266333,imputed,observed,,6.41,124.3,0,0
139,Jonathan Williams,2016,156,Arkansas,12.413757464828524,1.9487832919551238,78.07291666666667,59.0,10.4649741728734,imputed,observed,,6.4,40.400000000000006,0,0
140,Audric Estime,2024,147,Notre Dame,12.410215503536193,2.2061358865131675,75.0,60.7,10.204079617023027,observed,observed,20.0,6.57,48.7,0,0
141,Tarik Cohen,2017,119,North Carolina A&T,12.22520691694023,3.18578264738066,78.07291666666667,34.2,9.039424269559571,imputed,observed,,3.92,235.6,1,1
142,Kevin Harris,2022,183,South Carolina,12.222314574665791,1.2941445976460284,78.07291666666667,66.3,10.928169977019763,imputed,observed,,7.13,21.3,0,0
143,Jase McClellan,2024,186,Alabama,12.177884751907069,1.2303461584302213,78.07291666666667,66.49597701149425,10.947538593476848,imputed,imputed,,,3.2,0,0
144,Darwin Thompson,2019,214,Utah St.,12.148274448257746,0.7011562136365626,78.07291666666667,74.9,11.447118234621184,imputed,observed,,7.99,33.2,0,0
145,Elijah McGuire,2017,188,Louisiana,12.142455687234843,1.1886649058746623,78.07291666666667,66.49597701149425,10.953790781360182,imputed,imputed,,,85.9,0,0
146,Ty Chandler,2022,169,North Carolina,12.10419195037919,1.6140003337794369,78.07291666666667,58.5,10.490191616599754,imputed,observed,,6.35,101.0,0,0
147,Justin Jackson,2018,251,Northwestern,12.09862239297301,0.14274203094863666,78.07291666666667,83.4,11.955880362024374,imputed,observed,,8.84,86.2,0,0
148,Jamaal Williams,2017,134,BYU,12.061581747951177,2.6226942132758926,78.07291666666667,40.5,9.438887534675285,imputed,observed,,4.55,225.9,1,0
149,Michael Carter,2021,107,North Carolina,12.011244987094374,3.7191117495227943,60.0,57.0,8.29213323757158,observed,observed,21.0,6.2,154.4,0,0
150,Kyren Williams,2022,164,Notre Dame,11.95733756234461,1.73804419099366,90.0,29.599999999999998,10.21929337135095,observed,observed,19.0,3.46,299.8,1,1
151,David Cobb,2015,138,Minnesota,11.947321628185536,2.4882705429633734,78.07291666666667,40.5,9.459051085222162,imputed,observed,,4.55,21.4,0,0
152,Gerrid Doaks,2021,244,Cincinnati,11.910069161983449,0.23856175919621156,78.07291666666667,78.0,11.671507402787237,imputed,observed,,8.3,0.0,0,0
153,Donnel Pumphrey,2017,132,San Diego St.,11.85064974145227,2.692185970336002,78.07291666666667,35.099999999999994,9.158463771116267,imputed,observed,,4.01,0.0,0,0
154,Brandon Wilson,2017,207,Houston,11.831916789697388,0.8233250264188325,78.07291666666667,66.49597701149425,11.008591763278556,imputed,imputed,,,0.0,0,0
155,Cameron Artis-Payne,2015,174,Auburn,11.828332675528621,1.4953423633670047,78.07291666666667,55.0,10.332990312161616,imputed,observed,,6.0,36.9,0,0
156,Demetric Felton,2021,211,UCLA,11.771944620403978,0.7527695331324677,78.07291666666667,66.49597701149425,11.01917508727151,imputed,imputed,,,50.5,0,0
157,Rodney Anderson,2019,211,Oklahoma,11.771944620403978,0.7527695331324677,78.07291666666667,66.49597701149425,11.01917508727151,imputed,imputed,,,0.0,0,0
158,Jordan Howard,2016,150,Indiana,11.755114868536996,2.117782198278818,75.0,49.1,9.637332670258179,observed,observed,20.0,5.41,230.1,1,1
159,Zac Brooks,2016,247,Clemson,11.694739581348607,0.19699754668463307,78.07291666666667,74.4,11.497742034663974,imputed,observed,,7.94,0.0,0,0
160,Devante Mays,2017,238,Utah St.,11.662721917238233,0.32403558890772477,78.07291666666667,71.6,11.338686328330509,imputed,observed,,7.66,1.1,0,0
161,Chris Carson,2017,249,Oklahoma St.,11.656542079033379,0.16970636749024845,78.07291666666667,74.1,11.486835711543131,imputed,observed,,7.91,232.6,1,0
162,Cullen Gillaspia,2019,220,Texas A&M,11.64303826833147,0.601115001282459,78.07291666666667,66.49597701149425,11.041923267049011,imputed,imputed,,,0.0,0,0
163,Tyler Badie,2022,196,Missouri,11.621405642544143,1.0283693833852658,78.07291666666667,58.8,10.593036259158877,imputed,observed,,6.38,10.2,0,0
164,Jordan Scarlett,2019,154,Florida,11.61570665285069,2.0040176308047317,78.07291666666667,42.1,9.611689022045958,imputed,observed,,4.71,0.9,0,0
165,Kerrith Whyte Jr,2019,222,Florida Atlantic,11.615462254914705,0.568672632556854,78.07291666666667,66.49597701149425,11.046789622357851,imputed,imputed,,,0.0,0,0
166,Mike Weber,2019,218,Ohio St.,11.601194052488648,0.6340028068493889,78.07291666666667,65.1,10.967191245639258,imputed,observed,,7.01,0.0,0,0
167,Isaac Guerendo,2024,129,Louisville,11.579522561217185,2.799438307314335,45.0,94.0,8.78008425390285,observed,observed,22.0,9.9,96.2,0,0
168,Khalfani Muhammad,2017,241,California,11.556056387457135,0.2808996715181957,78.07291666666667,70.19999999999999,11.27515671593894,imputed,observed,,7.52,0.0,0,0
169,Raymond Calais,2020,245,Louisiana,11.548220558145104,0.22462222526874742,78.07291666666667,71.0,11.323598332876356,imputed,observed,,7.6,0.0,0,0
170,Qadree Ollison,2019,152,Pittsburgh,11.523579447844256,2.0603385660912803,78.07291666666667,39.3,9.463240881752975,imputed,observed,,4.43,30.7,0,0
171,Devontae Booker,2016,136,Utah,11.496328746825748,2.5547410544129825,60.0,66.49597701149425,8.941587692412766,observed,imputed,21.0,,144.10000000000002,0,0
172,Chandler Cox,2019,233,Auburn,11.470196377394373,0.3977716001799912,78.07291666666667,66.49597701149425,11.072424777214382,imputed,imputed,,,0.0,0,0
173,Lew Nichols,2023,235,Central Michigan,11.444886181543362,0.36799489917880224,78.07291666666667,66.49597701149425,11.07689128236456,imputed,imputed,,,0.0,0,0
174,Nick Bawden,2018,237,San Diego St.,11.419897047666241,0.33859591814689466,78.07291666666667,66.49597701149425,11.081301129519346,imputed,imputed,,,0.0,0,0
175,Kimani Vidal,2024,181,Troy,11.326921980285068,1.3375552709236085,60.0,83.80000000000001,9.989366709361459,observed,observed,21.0,8.88,32.7,0,0
